,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Processing power[a][d](GFLOPS).2,Memory,Memory.1,Memory.2,Memory.3,TBP,Bus interface,Release Price (USD)
0,Model(Codename),Launch,Architecture(Fab),TransistorsDie Size,Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Half,Single,Double,Bus type& width,Size (GiB),Clock (MT/s),Band-width (GB/s),TBP,Bus interface,Release Price (USD)
1,Radeon Vega Frontier Edition(Air Cooled)[249][250],27 June 2017,GCN 5th gen(14 nm),12.5×109484 mm2,4096:256:64,1382,409.6,102.4,22643,11321,707.6,HBM22048-bit,16,1890,483.8,300 W,PCIe 3.0 ×16,$999
2,Radeon Vega Frontier Edition(Liquid Cooled)[249][250],27 June 2017,GCN 5th gen(14 nm),12.5×109484 mm2,4096:256:64,1600,409.6,102.4,26214,13107,819.2,HBM22048-bit,16,1890,483.8,350 W,PCIe 3.0 ×16,$1499
