,Model,Features,Features.1
0,Model,nFiniteFX II Engine,Video Processing Engine (VPE)
1,GeForce4 MX420,No,Yes
2,GeForce4 MX440 SE,No,Yes
3,GeForce4 MX4000,No,Yes
4,GeForce4 PCX4300,No,Yes
5,GeForce4 MX440,No,Yes
6,GeForce4 MX440 8X,No,Yes
7,GeForce4 MX460,No,Yes
8,GeForce4 Ti4200,Yes,No
9,GeForce4 Ti4200 8x,Yes,No
10,GeForce4 Ti4400,Yes,No
11,GeForce4 Ti4400 8x,Yes,No
12,GeForce4 Ti4600,Yes,No
13,GeForce4 Ti4600 8x,Yes,No
