,Nation,Multi-satellite simultaneous launches,Launch of foreign satellite,Geostationary launches,Atmos-pheric reentry,Rendezvous dockings in orbit,Satellite navigation system,Data relay satellites,Martian missions,Solar Space Missions,Space observatories
0,China,1981(FB-1)[92]3 Sats,1990CZ-2E science satellite,1984Dong Fang Hong 02(by CZ-3),1975FSW-0,2011Tiangong 1,2000Beidou,2008Tianlian I,2011 Yinghuo-1 (Failure),(planned)Solar Space Telescope,2017Space Hard X-Ray Modulation Telescope
1,India,1999(PSLV-CA C2) 3 Sats,1999PSLV-C2 Kitsat-3 DLR-Tubsat,2001GSAT(by GSLV),2007SRE-1,planned,2013 IRNSS[93],2002Kalpana-1[94],2013 Mangalyaan[89](orbiter),2021 (planned)Aditya-L1,2015Astrosat
2,Japan,1986(H-I H15F)[95]3 Sats,2002H-IIA FedSat,1977ETS-II[96](by N-I),1994OREX,1997ETS-VII[97],2010QZSS[98],2002Kodama,1998Nozomi(orbiter) (Failure),1975Taiyo[99],1979Hakucho
