,Unnamed: 0,Developer,First release,Latest release,License,Platform
0,Battle Chess,InterplaySilicon & Synapse (C64)[1],1988,1994.0,Commercial,"Microsoft Windows, Apple Inc., Amiga, 3DO, Acorn Archimedes, Atari, Commodore 64, MS-DOS, FM Towns, NES, PC-98, Sharp X68000"
1,Battle Chess: Game of Kings,Interplay,2014-04,,Commercial,Steam (software)
2,Battle vs. Chess,Targem GamesZuxxez Entertainment,2011,,Commercial (Topware Interactive),"Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii"
3,Chessaria: The Tactical Adventure,Pixel Wizards[2][3],2018,,Commercial,"Steam (software), Microsoft Windows, Mac OS X"
4,Chess Assistant,Victor Zakharov,1988,2018.0,Commercial (Convekta),Microsoft Windows
5,Chessbase,"Mathias Wüllenweber, Mathias Feist",1987,2018.0,Commercial (Chessbase),"Microsoft Windows, Android, Steam"
6,Chessmaster,"David Kittinger, Kathe and Dan Spracklen, Johan de Koning",1986,2007.0,Commercial (Ubisoft),"MS Windows, MS-DOS, PlayStation, Xbox 360, (XBLA), PSP, PS2"
7,Chess Titans,Oberon Games,2007,,Included in Microsoft Windows Vista and 7,"Windows Vista, Windows 7"
8,ChessV,Gregory Strong,2009,,GPL,Microsoft Windows
9,Fritz,"Frans Morsch, Mathias Feist, Gyula Horvath, Vasik Rajlich",1991,2018.0,Commercial (Chessbase),"Microsoft Windows, Steam, PlayStation 3, Wii, Nintendo DS"
10,Fritz and Chesster,Chessbase,2005,2010.0,Commercial (Chessbase),"Microsoft Windows, Mac, Nintendo DS"
11,GNOME Chess,"Robert Ancell, GNOME Team",2000,2018.0,Free,Unix-like
12,GNU Chess,"Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey",1984,2013.0,Free,"Microsoft Windows, Unix-like"
13,HIARCS,Mark Uniacke,1980,2012.0,"Commercial (Chessbase, Hiarcs.com)","Microsoft Windows, iOS, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS"
14,Houdini,Robert Houdart,2010,2018.0,"Commercial (Chessbase, Convekta)",Microsoft Windows
15,Junior,"Amir Ban, Shay Bushinsky",1997,2014.0,"Commercial (Chessbase, Hiarcs.com)",Microsoft Windows
16,Komodo,"Don Dailey, Larry Kaufman, Mark Lefler",2010,2018.0,"Commercial (Chessbase, Komodochess.com)","Microsoft Windows, Linux, Macintosh Operating System, Android"
17,Playchess,Chessbase,2003,2018.0,Commercial (Chessbase),"Microsoft Windows, web"
18,Play Magnus,Tord Romstad,2014,2018.0,Free to try with in-app purchases,"Android, iOS"
19,Pure Chess,VooFoo Studios,2012,,Commercial (Ripstone),"Microsoft Windows, Android, iOS, PlayStation 3, PlayStation Vita"
20,pyChess,PyChess Project,2006,2018.0,GPL,Unix-like Microsoft Windows
21,Rybka,Vasik Rajlich,2010,,"Commercial (Chessbase, rybkachess.com)",Microsoft Windows
22,Shredder,Stefan Meyer-Kahlen,1993,2010.0,Commercial (Chessbase Shredderchess.com),"Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android"
23,Wii Chess,Fritz Reul,2008,,Commercial,Nintendo Wii
24,Winboard/xBoard,"Tim Mann, Harm Geert Muller",,2013.0,Free GPL,"Unix-like, X11, Microsoft Windows"
