,Unnamed: 0,Unnamed: 1,Trident,Tasman,Gecko,WebKit,KHTML,Presto
0,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException,Exception DOMException
1,DOM1,code,5.0[t 1],?,1.0,?,?,1.0
2,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList,Interface DOMStringList
3,DOM3,length,6.0[t 2],No,1.6,No,?,2.0
4,DOM3,contains(),6.0[t 2],No,1.6,No,?,2.0
5,DOM3,item(),6.0[t 2],No,1.6,No,?,2.0
6,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList,Interface NameList
7,DOM3,length,No,No,1.6,No,No,No
8,DOM3,getName(),No,No,1.6,No,No,No
9,DOM3,getNamespaceURI(),No,No,1.6,No,No,No
10,DOM3,contains(),No,No,1.6,No,No,No
11,DOM3,containsNS(),No,No,1.6,No,No,No
12,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList,Interface DOMImplementationList
13,DOM3,length,No,No,No,No,No,No
14,DOM3,item(),No,No,No,No,No,No
15,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource,Interface DOMImplementationSource
16,DOM3,getDOMImplementation(),No,No,No,No,No,No
17,DOM3,getDOMImplementationList(),No,No,No,No,No,No
18,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation,Interface DOMImplementation
19,DOM1,hasFeature(),6.0,?,1.0,Yes,?,1.0
20,DOM2,createDocumentType(),9.0[t 3],No,1.0,Yes,?,1.0
21,DOM2,createDocument(),9.0[t 3],No,1.0,Yes,?,1.0
22,DOM3,getFeature(),No,No,No,No,?,1.0
23,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment,Interface DocumentFragment
24,DOM1,(no properties),6.0,No,1.0,?,?,1.0
25,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document,Interface Document
26,DOM1,doctype,9.0,Yes,Partial,Yes,?,1.0
27,DOM1,createElement(),4.0,Yes,1.0,Yes,?,1.0
28,DOM1,createTextNode(),5.0,Yes,1.0,Yes,?,1.0
29,DOM1,createAttribute(),6.0,Yes,1.0,Yes,?,1.0
30,DOM1,documentElement,5.0,Yes,1.0,Yes,?,1.0
31,DOM1,getElementsByTagName(),5.0,Yes,1.0,Yes,?,1.0
32,DOM1,implementation,6.0,Yes,1.0,Yes,?,1.0
33,DOM1,createDocumentFragment(),6.0,No,1.0,Yes,?,1.0
34,DOM1,createComment(),6.0,No,1.0,Yes,?,1.0
35,DOM1,createCDATASection(),9.0[t 3],No,1.0,Yes,?,1.0
36,DOM1,createProcessingInstruction(),9.0[t 3],?,1.7,Yes,?,1.0
37,DOM1,createEntityReference(),No,?,No [1],Yes,?,No
38,DOM2,importNode(),9.0[t 3],No,1.0,Yes,?,1.0
39,DOM2,createElementNS(),9.0[t 3],No,1.0,Yes,?,1.0
40,DOM2,createAttributeNS(),9.0[t 3],No,1.0,Yes,?,1.0
41,DOM2,getElementsByTagNameNS(),9.0[t 3],No,1.0,Yes,?,1.0
42,DOM2,getElementById(),8.0,Yes,1.0,Yes,?,2.1
43,DOM3,adoptNode(),9.0[t 3],No,1.7,Yes,?,2.0
44,DOM3,inputEncoding,9.0[t 3],No,1.7,No,?,No
45,DOM3,xmlEncoding,9.0[t 3],No,1.7,No,?,No
46,DOM3,xmlStandalone,9.0[t 3],No,1.7,No,?,No
47,DOM3,xmlVersion,9.0[t 3],No,1.7,No,?,No
48,DOM3,domConfig,No,No,No,No,?,No
49,DOM3,strictErrorChecking,No,No,1.7,No,?,No
50,DOM3,documentURI,No,No,1.7,No,?,No
51,DOM3,normalizeDocument(),No,No,1.7,No,?,No
52,DOM3,renameNode(),No,No,1.7,No,?,No
53,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node,Interface Node
54,DOM1,nodeName,5.0,Yes,1.0,Yes,?,1.0
55,DOM1,nodeValue,5.0,Yes,1.0,Yes,?,1.0
56,DOM1,nodeType,5.0,Yes,1.0,Yes,?,1.0
57,DOM1,parentNode,5.0,Yes,1.0,Yes,?,1.0
58,DOM1,childNodes,5.0,Yes,1.0,Yes,?,1.0
59,DOM1,firstChild,5.0,Yes,1.0,Yes,?,1.0
60,DOM1,lastChild,5.0,Yes,1.0,Yes,?,1.0
61,DOM1,previousSibling,5.0,Yes,1.0,Yes,?,1.0
62,DOM1,nextSibling,5.0,Yes,1.0,Yes,?,1.0
63,DOM1,attributes,5.0,Yes,1.0,Yes,?,1.0
64,DOM1,cloneNode(),5.0,Yes,1.0,Yes,?,1.0
65,DOM1,insertBefore(),5.0,Yes,Partial,Yes,?,1.0
