,Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1],Interface
0,CrossFTP,CrossFTP Software,2006,1.98.7,Proprietary,Yes,GUI
1,Classic FTP,NCH Software,2007,2.52,Proprietary,Yes,GUI
2,Fling FTP (free version contains adware),NCH Software,2007,1.0.7,Proprietary,Yes,Windows Explorer shell extension
3,LeechFTP,Jan Debis,1998,1.3 (Discontinued),Proprietary,No,GUI
4,pbFtpClient,Level5Software,2007,6.1,Proprietary,?,Windows GUI
5,FTP Voyager,"Rhino Software, Inc",1997 (January),"16.1.0.0 (August 20, 2013; 6 years ago)",Proprietary,Yes,GUI
