,Country,Resolution,Satellite,Year launched
0,India,0.25 meter,Cartosat-3,2019
1,Japan,0.4 meter,IGS Optical 5V,2013
2,Israel,0.5 meter,Ofeq 9,2010
3,China,0.5 meter,Gaofen 9,2015
4,South Korea,0.7 meter,KOMPSAT-3,2012
5,Iran,150 meters,Rasad 1,2011
