,Report date,Period,Into the sea(TBq),Into the sea(TBq).1,Source
0,Report date,Period,direct,indirect,Source
1,21 May 2011,1 – 6 April 2011,4700,,Tepco[34]
2,End of August 2011,March – August 2011,3500,16000,JMA[35]
3,8 September 2011,March – April 2011,15000,15000,Scientist Group[36]
4,29 October 2011,21 March – 15 July 2011,27100,27100,IRSN[37]
