,Unnamed: 0,Unnamed: 1,Trident,Tasman,Gecko,WebKit,KHTML,Presto
0,Interface EventTarget,Interface EventTarget,Interface EventTarget,Interface EventTarget,Interface EventTarget,Interface EventTarget,Interface EventTarget,Interface EventTarget
1,DOM2,addEventListener(),5.0[t 6],No,1.0,Yes,Yes,1.0
2,DOM2,removeEventListener(),5.0[t 6],No,1.0,Yes,Yes,1.0
3,DOM2,dispatchEvent(),5.0[t 6],No,1.0,?,?,1.0
4,Interface EventListener,Interface EventListener,Interface EventListener,Interface EventListener,Interface EventListener,Interface EventListener,Interface EventListener,Interface EventListener
5,DOM2,handleEvent(),?,?,?,?,?,1.0
6,Interface Event,Interface Event,Interface Event,Interface Event,Interface Event,Interface Event,Interface Event,Interface Event
7,DOM2,type,4.0,Yes,1.0,?,?,1.0
8,DOM2,target,No,Yes,1.3,Incorrect,?,1.0
9,DOM2,currentTarget,No,No,1.0,?,?,1.0
10,DOM2,eventPhase,No,No,1.0,?,?,1.0
11,DOM2,bubbles,No,No,1.0,?,?,1.0
12,DOM2,cancelable,No,No,1.0,?,?,1.0
13,DOM2,timeStamp,No,No,Yes,?,?,1.0
14,DOM2,stopPropagation(),No,No,1.0,?,?,1.0
15,DOM2,preventDefault(),No,No,1.0,?,?,1.0
16,DOM2,initEvent(),No,No,1.0,?,?,1.0
17,Exception EventException,Exception EventException,Exception EventException,Exception EventException,Exception EventException,Exception EventException,Exception EventException,Exception EventException
18,DOM2,code,No,No,1.0,?,?,1.0
19,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent,Interface DocumentEvent
20,DOM2,createEvent(),No,No,1.0,?,?,1.0
21,Interface UIEvent,Interface UIEvent,Interface UIEvent,Interface UIEvent,Interface UIEvent,Interface UIEvent,Interface UIEvent,Interface UIEvent
22,DOM2,view,No,No,No[g 10],?,?,1.0
23,DOM2,detail,No,No,No[g 10],?,?,1.0
24,DOM2,initUIEvent(),No,No,No[g 10],?,?,1.0
25,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent,Events for interface UIEvent
26,DOM2,DOMFocusIn,No,No,No[g 10],?,?,1.0
27,DOM2,DOMFocusOut,No,No,No[g 10],?,?,1.0
28,DOM2,DOMActivate,No,No,No[g 10],?,?,1.0
29,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent,Interface MouseEvent
30,DOM2,screenX,4.0,Yes,1.0,Yes,?,1.0
31,DOM2,screenY,4.0,Yes,1.0,Yes,?,1.0
32,DOM2,clientX,4.0,Yes,1.0,Incorrect,?,1.0
33,DOM2,clientY,4.0,Yes,1.0,Incorrect,?,1.0
