,Unnamed: 0,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
0,Docvert,4.0b1,Client: any browser (open source or proprietary HTTP clients are compatible with GPLv3 web service interface). Server: Many.,Many,Matthew Holloway,GPLv3,Yes,
1,3BOpenDoc,2.1,"Desktop: Any (Web-based) Server: Linux, Windows",Many,3BView,Proprietary,Yes,Server based
2,JODConverter,4.0.0,"Windows, Linux, Unix-based systems, Mac OS X",,http://www.jodconverter.org,Apache 2.0,Yes,
3,,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
