,Model(Codename),Launch,Architecture(Fab),Bus interface,Stream processors,Clock rate,Clock rate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power[a](GFLOPS),Processing power[a](GFLOPS).1,TDP (Watts)
0,Model(Codename),Launch,Architecture(Fab),Bus interface,Stream processors,Core (MHz),Memory (MHz),Size (MB),Type,Bus width (bit),Bandwidth (GB/s),Single,Double,TDP (Watts)
1,Stream Processor(R580),2006,R50080 nm,,240,600,,1024,GDDR3,256,83.2,375[314],,165
2,FireStream 9170(RV670)[315][316],"November 8, 2007",TeraScale 155 nm,PCIe 2.0 x16,320,800,800,2048,GDDR3,256,51.2,512,102.4,105
3,FireStream 9250(RV770)[317][318],"June 16, 2008",TeraScale 155 nm,PCIe 2.0 x16,800,625,993,1024,GDDR3,256,63.6,1000,200,150
4,FireStream 9270(RV770)[319][320],"November 13, 2008",TeraScale 155 nm,PCIe 2.0 x16,800,750,850,2048,GDDR5,256,108.8,1200,240,160
5,FireStream 9350(Cypress XT)[321],"June 23, 2010",TeraScale 240 nm,PCIe 2.1 x16,1440,700,1000,2048,GDDR5,256,128,2016,403.2,150
6,FireStream 9370(Cypress XT)[322],"June 23, 2010",TeraScale 240 nm,PCIe 2.1 x16,1600,825,1150,4096,GDDR5,256,147.2,2640,528,225
