,Editor,Screenshot
0,LyX,Screenshot
1,Texmaker,Screenshot of Texmaker version 4.5
2,TexLab,TeXLab Screenshot
3,TeXstudio,Screenshot of TeXstudio (2.12.6)
4,Editor,Screenshot
