,Rank,Country and (Argentine provinces),Intl. $
0,1,Qatar,86008
1,2,Luxembourg,82441
2,3,Norway,53738
3,4,Singapore,51226
4,5,Brunei,50199
5,6,United States,47440
6,—,Hong Kong,43847
7,7,Switzerland,43196
8,8,Ireland,42110
9,9,Netherlands,40558
10,10,Iceland,40471
11,11,Kuwait,39915
12,12,Austria,39887
13,13,Canada,39098
14,14,United Arab Emirates,38894
15,15,Sweden,37334
16,16,Denmark,37304
17,17,Australia,36918
18,18,Belgium,36416
19,19,United Kingdom,36358
20,20,Finland,36320
21,21,Germany,35539
22,22,Bahrain,34662
23,23,France,34205
24,24,Japan,34116
25,25,"China, Republic of (Taiwan)",30912
26,26,Greece,30681
27,27,Italy,30631
28,28,Spain,30589
29,29,Cyprus,29853
30,30,Slovenia,29521
31,31,Israel,28474
32,32,The Bahamas,27735
33,33,South Korea,27692
34,34,New Zealand,27083
35,-,Santa Cruz,26438
36,-,Tierra del Fuego,25993
37,35,Czech Republic,25118
38,36,Oman,24674
39,37,Malta,23971
40,38,Saudi Arabia,23814
41,—,Neuquén,23380
42,—,Chubut,22983
43,39,Portugal,22232
44,40,Slovakia,22097
45,41,Seychelles,20829
46,42,Estonia,20561
47,43,Trinidad and Tobago,20338
48,—,Buenos Aires City,20036
49,44,Hungary,19553
50,45,Antigua and Barbuda,19340
51,46,Barbados,18977
52,47,Lithuania,18977
53,48,Croatia,18575
54,49,Equatorial Guinea[1],18058
55,50,Poland,17537
56,51,Latvia,17106
57,52,Russia,15948
58,—,Río Negro,15046
59,53,Botswana,14907
60,—,Buenos Aires,14773
61,—,San Luis,14649
62,54,Gabon,14545
63,55,Mexico,14534
64,56,Chile,14529
65,-,Argentina,14408
66,57,Santa Fe,14216
67,58,Libya,14192
68,—,San Juan,14154
69,59,Malaysia,14081
70,—,Catamarca,14105
71,60,Saint Kitts and Nevis,13826
72,—,Mendoza,13795
73,—,Córdoba,13708
74,—,La Pampa,13658
75,61,Turkey,13139
76,—,Jujuy,13089
77,62,Lebanon,13006
78,63,Venezuela,12806
79,64,Uruguay,12785
80,65,Romania,12600
81,—,Salta,12594
82,—,Santiago del Estero,12532
83,—,Entre Ríos,12420
84,66,Bulgaria,12322
85,67,Belarus,12313
86,—,Corrientes,12148
87,—,Misiones,12099
88,68,Mauritius,12011
89,—,Formosa,11616
90,—,Chaco,11516
91,69,Grenada,11464
92,70,Kazakhstan,11434
93,71,Panama,11362
94,72,Montenegro,11111
95,73,Iran,11052
96,74,Serbia,10810
97,75,Saint Lucia,10750
98,76,Costa Rica,10735
99,—,Tucuman,10811
100,77,Brazil,10466
101,—,World[2],10433
102,—,La Rioja,10414
103,78,Saint Vincent and the Grenadines,10163
104,79,South Africa,10136
105,80,Dominica,10133
106,81,Macedonia,9164
107,82,Jamaica,8967
108,83,Azerbaijan,8634
109,84,Dominican Republic,8619
110,85,Peru,8594
111,86,Thailand,8239
112,87,Colombia,8229
113,88,Suriname,8188
114,89,Tunisia,8002
115,90,Belize,7954
116,91,Ecuador,7786
117,92,Bosnia and Herzegovina,7624
118,93,El Salvador,7564
119,94,Ukraine,7342
120,95,Albania,6897
121,96,Algeria,6709
122,97,Namibia,6612
123,98,Angola,6252
124,99,Kiribati,6122
125,100,"China, People's Republic of",5970
126,101,Egypt,5897
127,102,Armenia,5792
128,103,Turkmenistan,5757
129,104,Swaziland,5749
130,105,Samoa,5674
131,106,Jordan,5537
132,107,Tonga,5382
133,108,Bhutan,5312
134,109,Maldives,4967
135,110,Guatemala,4907
136,111,Georgia,4869
137,112,Paraguay,4786
138,113,Syria,4757
139,114,Sri Lanka,4589
140,115,Morocco,4362
141,116,Bolivia,4345
142,117,Honduras,4275
143,118,Vanuatu,4251
144,119,Fiji,4196
145,120,Guyana,4029
146,121,Indonesia,3980
147,122,Republic of the Congo,3919
148,123,Mongolia,3547
149,124,Philippines,3515
150,125,Iraq,3477
151,126,Cape Verde,3472
152,127,Moldova,2984
153,128,Solomon Islands,2917
154,129,Vietnam,2794
155,130,India,2780
156,131,Nicaragua,2698
157,132,Uzbekistan,2634
158,133,Pakistan,2624
159,134,Yemen,2411
160,135,Djibouti,2396
161,136,Timor-Leste,2368
162,137,Sudan,2309
163,138,Kyrgyzstan,2185
164,139,Nigeria,2162
165,140,Cameroon,2139
166,141,Laos,2127
167,142,Papua New Guinea,2108
168,143,Cambodia,2082
169,144,Mauritania,2055
170,145,Tajikistan,2023
171,146,São Tomé and Príncipe,1752
172,147,Senegal,1739
173,148,Kenya,1712
174,149,Chad,1663
175,150,Côte d'Ivoire,1643
176,151,Benin,1608
177,152,Ghana,1518
178,153,Zambia,1482
179,154,Bangladesh,1399
180,155,The Gambia,1395
181,156,Tanzania,1353
182,157,Haiti,1317
183,158,Lesotho,1305
184,159,Burkina Faso,1268
185,160,Comoros,1157
186,161,Burma,1156
187,162,Uganda,1147
188,163,Nepal,1144
189,164,Mali,1129
190,165,Rwanda,1043
191,166,Guinea,1014
192,167,Madagascar,996
193,168,Mozambique,903
194,169,Ethiopia,898
195,170,Malawi,836
196,171,Togo,812
197,172,Afghanistan,760
198,173,Eritrea,748
199,174,Central African Republic,740
200,175,Niger,740
201,176,Sierra Leone,725
202,177,Guinea-Bissau,486
203,178,Burundi,390
204,179,Liberia,373
205,180,Democratic Republic of the Congo,330
206,181,Zimbabwe,268
