,Product,Multi-column mode,Styles (bold/italic/etc.),Page Turn Effects,Themes,Day/Night mode,Enable/Disable sleep mode,Brightness Control,Indent paragraph,Enable/Disable CSS,Enable/Disable hyphenation,Customize margins,Customize text alignment,Customize font,Customize spacing: line/paragraph
0,Apabi Reader,Yes,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Yes,Yes,No,Yes,Yes,Yes
1,Blio,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Justification only,Yes,No
2,Bluefire Reader,No,Yes,Yes,Yes,Yes,No,Vertical swipe,No,Yes,No,Pre-set choices only,Justification only,Yes,Line only
3,DL Reader,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Pre-set choices only,Justification only,Yes,No
4,eBookMobi,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No
5,Ebook Reader,No,Yes,Yes,No,Yes,(Disabled by default),Yes,No,No,No,No,No,Yes,No
6,i2Reader,Yes,Buggy,Yes,Yes,Using styles,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
7,iBooks,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No
8,Kindle,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Pre-set choices only,Yes,Yes,Line; pre-set choices only
9,Kobo Reading App,No,Yes,Yes,No,Yes,No,Vertical swipe,No,Yes,No,No,Yes,Yes,No
10,KyBook,Yes,Yes,Yes,Yes,Using themes,No,Yes,Yes,Configurable,Yes,Yes,Yes,Yes,Yes
11,KyBook 2,Yes,Yes,Yes,Using themes,Yes,Yes,Yes,Configurable,Yes,Yes,Yes,Yes,Yes,Yes
12,MapleRead,Configurable,Yes,Configurable,Configurable,Configurable,Yes,Vertical swipe,Configurable,Yes,Yes,Yes,Yes,Yes,Yes
13,Marvin,Configurable,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Configurable,Yes,Yes,Yes,Yes,Yes
14,MegaReader,Configurable,Buggy,Configurable,Yes,Using themes,Yes,Vertical swipe,No,No,No,Yes,Yes,Yes,Line only
15,PocketBook reader,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No
16,ShuBook,No,Buggy,Configurable,Yes,Yes,Yes,Vertical swipe,Configurable,No,Yes,"None, small, large",Yes,Yes,Yes
17,Stanza,No,Yes,Configurable,Yes,Yes,Yes,Vertical swipe,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,uBooks XL,No,Buggy,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
19,iBouquiniste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
20,Product,Multi-column mode,Styles (bold/italic/etc.),Page Turn Effects,Themes,Day/Night mode,Enable/Disable sleep mode,Brightness Control,Indent paragraph,Enable/Disable CSS,Enable/Disable hyphenation,Customize margins,Customize text alignment,Customize font,Customize spacing: line/paragraph
