,Unnamed: 0,Product image attaching,Product rating,Product reviews,Quotes,Reordering,Returns,Searching,Search as user types,Search cloud,"Site map, viewable",Social bookmarking,Tell friends,Wish list
0,Apache OFBiz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1,Batavi,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
2,Bigcommerce,Yes,3rd party,3rd party,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
3,Drupal Commerce,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,KonaKart,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
5,LemonStand,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6,nopCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Magento,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,osCommerce,No,Yes,Yes,No,No,No,Yes,Add-on,No,No,Yes,Yes,No
9,pimcore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,PrestaShop,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Sana Commerce,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
12,Shopify,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3rd party module,3rd party module,Yes,Yes,Yes,Yes
13,SupaDupa,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
14,WooCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Zen Cart,Yes,Yes,Yes,Yes,No,Add-on[28],Yes,"3rd party module, price varies[29]",No,Yes,Add-on[30],Yes,Add-on[31]
16,,Product image attaching,Product rating,Product reviews,Quotes,Reordering,Returns,Searching,Search as user types,Search cloud,"Site map, viewable",Social bookmarking,Tell friends,Wish list
