,Model,Charter Spectrum,Verizon FiOS,Comcast Xfinity,Watch ABC,PBS,Fox Now,A&E,Bloomberg,Disney Channel,FX Now,History Channel,Lifetime,MTV,SyFy,Watch ESPN,Encore Play,EPIX,HBO GO,Showtime Anytime,Starz Play
0,Amazon Fire TV,No,No,No,Yes[14],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[15],Yes[16],Yes,Yes
1,Apple TV,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2,Google Chromecast,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
3,Microsoft Xbox,Yes,Yes,No,Xbox 360 only,Yes,Yes,Yes,No,Xbox 360 only,"Xbox One only, Xbox 360 upcoming[17]",Yes,Yes,Yes,Yes,Xbox One only,Yes,Yes,Yes,Yes,Yes
4,Roku | Roku Devices,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Sony PlayStation,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
