,Kernel name,Programming language,Used in,Creator,Executableformat(also seesectionbelow),Type,Integrated firewall,SMP support,Multiple architecturesupport(also seesection below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT[2]
0,Agnix [1],,?,?,?,?,?,?,?,Yes,?,?,?,?,?,?
1,Amiga Exec,,AmigaOS,Commodore International,HUNK,Exokernel (atypical)[3],No,No,No,Yes,No,No,Yes,No,No,No
2,Amiga Exec SG (2nd Generation),,AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),No,No,No,Yes,No,No,Yes,No,No,?
3,DragonFly BSD kernel,,DragonFly BSD,Matt Dillon,ELF,hybrid,"Ipfirewall,PF",Yes,No,Yes,"chroot, jail, vkernel",Unix permissions,"DDB, KGDB",?,?,?
4,FreeBSD kernel,,"FreeBSD, Debian GNU/kFreeBSD, Gentoo/FreeBSD, Orbis OS",The FreeBSD Project,"ELF, others - platform dependent",monolithic,"IPFilter, Ipfirewall,PF",Yes,Yes,Yes,"chroot, jail, bhyve","Unix permissions, POSIX.1e and NFSv4 ACLs,[4] Capsicum, TrustedBSD MAC, OpenBSM","KDB, DDB, KGDB, DTrace, hwpmc",Yes,?,Yes
5,GNU Hurd [2],,"GNU/Hurd (Arch Hurd, Debian GNU/Hurd)",GNU Project/Free Software Foundation,ELF,multiserver microkernel,No,partial,No,Yes,"chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities",?,?,?,?
6,GNU Mach [3],,"part of GNU Hurd, used in GNU/Hurd",GNU Project/Free Software Foundation,ELF,microkernel,No,partial,No,Yes,"chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities",?,?,?,?
7,Inferno kernel,,Inferno,Bell Labs / Vita Nuova Holdings,?,virtual machine,?,Yes,Yes,Yes,"chroot, Xen",?,?,?,?,?
8,L4,,L4,Jochen Liedtke,No,microkernel,No,Yes,Yes,Yes,Yes,"Afterburner/L4 [4], Marzipan [5], capabilities in L4/Fiasco[5]",L4/Fiasco[5],L4/Fiasco[5],?,?
9,Linux kernel [6],C,"Linux, Android, webOS, Firefox OS, Chrome OS, Syllable Server, Mastodon Linux, OpenBSD/Linux, Plan 9/Linux, Sailfish OS, Tizen, others",Linus Torvalds,"ELF, others",monolithic,*ipfwadm (2.0 –) ipchains (2.2 –) Netfilter (2.4 – 3.x) nftables (3.13 –),Yes,Yes,Yes,"cgroups, chroot, Lguest, Xen, KVM, kvm-lite, LXC","Unix permissions, POSIX ACL, POSIX Capabilities, keyctl, LSM(SELinux, SMACK, TOMOYO Linux, AppArmor)","OProfile, kprobe, SystemTap, JProbe, ftrace, KDB, KGDB, kernel marker, perf tools",CONFIG_PREEMPT,(CONFIG_PREEMPT_RT Patch),Yes
10,Compute Node Linux,,Compute Node Linux,Cray Inc.,?,?,?,?,?,?,?,?,?,?,?,?
11,Mach [7],,NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX,Carnegie Mellon University,Mach-O,"microkernel, hybrid kernel",?,Yes,?,Yes,?,?,?,Yes,?,?
12,MINIX 3 kernel [8],,MINIX 3,Andrew S. Tanenbaum,"ELF,[6] a.out[7][8]",microkernel,No,No,Yes,Yes,No,Unix permissions,"Call profiling, statistical profiling, Minix Debugger (mdb)",No,No,?
13,MkLinux [9],,?,OSF Research Institute and Apple Computer,?,microkernel,?,?,?,?,?,?,?,?,?,?
14,NetBSD kernel,,"NetBSD, GNU/kNetBSD (Debian GNU/NetBSD),",The NetBSD Project,"ELF, others - platform dependent","monolithic, anykernel using rump kernel architecture","IPFilter, PF, NPF",Yes,Yes,Yes,"Xen, chroot","kauth, Unix permissions","DDB, KGDB, tprof",POSIX real-time scheduling extensions,Kernel preemption [9],?
15,NetWare kernel,,NetWare,Novell,NLM,hybrid,Yes,Yes,No,Yes,?,?,?,?,?,?
16,OpenBSD kernel,,OpenBSD,OpenBSD developers,"ELF, others - platform dependent",monolithic,PF,Yes,Yes,Yes,?,Unix permissions,?,?,?,?
17,OS/2 kernel,,OS/2 version 2 and above,IBM,LX,hybrid,No,Yes,No PowerPC version developed but never officially released.,Yes,No,Yes,Yes,Yes,No,?
18,Plan 9 kernel,,Plan 9 from Bell Labs,Bell Labs,?,hybrid,ipmux,Yes,Yes,Yes,?,?,?,?,?,?
19,ReactOS kernel,,ReactOS,ReactOS Foundation,"PE, others?",hybrid,?,?,?,Yes,?,?,?,?,?,?
20,Rockbox kernel,,Rockbox,The Rockbox Project,?,?,?,?,Yes,?,?,?,?,?,?,?
21,SunOS kernel,,SunOS,Sun Microsystems,a.out,monolithic,?,Yes,Yes,Yes,?,Unix permissions,?,?,?,?
22,Solaris kernel,,"Solaris, OpenSolaris, GNU/kOpenSolaris (Nexenta OS)",Sun Microsystems,ELF (32-bit only untilSolaris 7 in 1998),monolithic,IPFilter,Yes,Yes,Yes,"Zones, chroot","Unix permissions, ACL, RBAC, Auditing, Privileges, Zones, Trusted Extensions","DTrace, CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb",Real-time scheduler,?,?
23,Trix kernel,,Trix,Massachusetts Institute of Technology,a.out,monolithic,?,Yes,No,Yes,?,?,?,?,?,?
24,Windows NT kernel [10],,"Windows NT, 2000,XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10",Microsoft,"PE, others?",hybrid,Yes,Yes,Yes,Yes,Hyper-V,ACL,Event Tracing[10],Multimedia Class Scheduler Service,No,Unofficial[11]
25,XNU (Darwin kernel) [11],"C, C++","Mac OS X, iOS, iPadOS, tvOS, watchOS, OpenDarwin, PureDarwin GNU/Darwin",Apple Inc.,Mach-O,hybrid,"Ipfirewall,PF (starting in Lion)",Yes,Yes,Yes,chroot,"Unix permissions, NT/NFSv4 ACLs, TrustedBSD MAC, OpenBSM","KDB, DDB, DTrace",Yes,No,Yes
26,SPARTAN kernel [12],,HelenOS,Jakub Jermar,ELF,microkernel,?,Yes,Yes,Yes,?,?,?,?,?,?
27,Kernel name,,Used in,Creator,Executableformat(also seesectionbelow),Type,Integrated firewall,SMP support,Multiple architecturesupport(also seesection below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT
