,Unnamed: 0,Editing style[Note 1],Native operating systems,Latest stable version,Costs,License,Configurable,Integrated viewer,Unnamed: 8
0,AUCTeX,Source,"Linux, macOS, Windows",(2017-12-10) 12.1,Free,GPL,Yes,Yes,AUCTeX
1,Authorea,Source / partial-WYSIWYG,Online,,Free,Proprietary,Yes,Yes,Authorea
2,Auto-Latex Equations for Google Docs,Source[Note 2],Online,(2016-01-06) 8.04,Free,Unclear,Yes,Yes,Auto-Latex Equations for Google Docs
3,CoCalc,Source,Online,,Free,AGPL,Yes,Yes,CoCalc
4,GNOME LaTeX,Source,Linux,(2019-03-10) 3.32,Free,GPL,Yes,No,GNOME LaTeX
5,Gummi,Source,Linux,(2016-01-27) 0.6.6,Free,MIT,Yes,Yes (Live update),Gummi
6,Kile,Source,"Linux (macOS, Windows)[Note 3]",(2012-09-23) 2.1.3,Free,GPL,Yes,Yes (Quick preview),Kile
7,LEd,Source,Windows,(2009-10-09) 0.53,Free,Proprietary,?,Yes (dvi),LEd
8,LyX,WYSIWYM,"Linux, macOS, Windows",(2019-06-25) 2.3.3,Free,GPL,Yes,Yes,LyX
9,MeWa,Source,Windows,(2007-06-06) 1.4.0,Free,GPL,Yes,No,MeWa
10,Notepad++,Source,Windows,(2019-10-29) 7.8.1,Free,GPL,Yes,"No, but can be integrated [Note 4]",Notepad++
11,Overleaf,Source,Online,,Free,Unclear,Yes,Yes,Overleaf
12,Scientific WorkPlace,WYSIWYM,Windows,(2016-02-23) 6.0.12,Non-free,Proprietary,Yes,Yes,Scientific WorkPlace
13,ShareLaTeX[Note 5],Source,Online,,Free,AGPL,Yes,Yes,ShareLaTeX
14,TexLab,Source-WYSIWYG,Windows,(2019-04-30) 7.8,Free,Free,Yes,Yes,TexLab
15,TeXmacs,WYSIWYG,"Linux, macOS, Windows",(2017-12-21) 1.99.6,Free,GPL,Yes,Yes,TeXmacs
16,Texmaker,Source,"Linux, macOS, Windows",(2018-11-01) 5.0.3,Free,GPL2,Yes,Yes,Texmaker
17,TeXnicCenter,Source,Windows,"2.02 Stable (September 29, 2013) [±]",Free,GPL,Yes,No,TeXnicCenter
18,TeXShop,Source,macOS,(2019-10-23) 4.44,Free,GPL,Yes,Yes,TeXShop
19,TeXstudio,Source,"Linux, Windows, macOS",(2019-05-19) 2.12.16,Free,GPL2,Yes,"Yes (pdf, selection with dvi2png)",TeXstudio
20,TeXworks,Source,"Linux, macOS, Windows",(2019-03) 0.6.3,Free,GPL,No,Yes (pdf),TeXworks
21,Verbosus,Source,"Online, Android, iOS",(2016-05-06) 4.1.3,Free,Proprietary,Yes,Yes (pdf),Verbosus
22,WinEdt,Source,Windows,(2017-04-13) 10.2,Non-free,Proprietary,Yes,No,WinEdt
23,WinShell,Source,Windows,(2013-02-10) 3.3.2.6,Free,Proprietary,Yes,No,WinShell
24,,Editing Style,Native Operating Systems,Latest stable version,Costs,License,Configurable,Integrated viewer,
