,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,UrbanSound,"Labeled sound recordings of sounds like air conditioners, car horns and children playing.",Sorted into folders by class of events as well as metadata in a JSON file and annotations in a CSV file.,1059,Sound (WAV),Classification,2014,[253][254],J. Salamon et al.
1,AudioSet,"10-second sound snippets from YouTube videos, and an ontology of over 500 labels.",128-d PCA'd VGG-ish features every 1 second.,2084320,Text (CSV) and TensorFlow Record files,Classification,2017,[255],"J. Gemmeke et al., Google"
2,Bird Audio Detection challenge,"Audio from environmental monitoring stations, plus crowdsourced recordings",,"17,000+",,Classification,2016 (2018),[256][257],Queen Mary University and IEEE Signal Processing Society
3,WSJ0 Hipster Ambient Mixtures,Audio from WSJ0 mixed with noise recorded in the San Francisco Bay Area,Noise clips matched to WSJ0 clips,28000,Sound (WAV),Audio source separation,2019,[258],"Wichern, G., et al., Whisper and MERL"
