,File system,Maximum filename length,Allowable characters in directory entries[c],Maximum pathname length,Maximum file size,Maximum volume size[d],Max number of files
0,BeeGFS,255 bytes,Any byte except NUL[e],No limit defined[f],16 EiB,16 EiB,?
1,CP/M file system,8.3,"ASCII except for < > . , ; : = ? * [ ]",No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2),32 MiB,512 MiB,?
2,IBM SFS,8.8,?,?,Non-hierarchical[8],?,?
3,DECtape,6.3,"A–Z, 0–9",DTxN:FILNAM.EXT = 15,"369,280 bytes (577 * 640)","369,920 bytes (578 * 640)",?
4,Elektronika BK tape format,16 bytes,?,No directory hierarchy,64 KiB,Not limited. Approx. 800KB (one side) for 90 min cassette,?
5,MicroDOS file system,14 bytes,?,?,16 MiB,32 MiB,?
6,Level-D,6.3,"A–Z, 0–9","DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes",Approx 12 GB (64 * 178 MB),?
7,RT-11,6.3,"A–Z, 0–9, $",0 (no directory hierarchy),"33,554,432 bytes (65536 * 512)","33,554,432 bytes",?
8,Version 6 Unix file system (V6FS),14 bytes,Any byte except NUL and /[e],No limit defined[f],16 MiB[g],32 MiB,?
9,Disk Operating System (GEC DOS),?,?,?,"? at least 131,072 bytes",?,?
10,GEC DOS filing system extended,8 bytes,"A–Z, 0–9. Period was directory separator",? No limit defined (workaround for OS limit),"? at least 131,072 bytes",?,?
11,CBM DOS,16 bytes,Any byte except NUL,0 (no directory hierarchy),16 MiB,16 MiB,?
12,Version 7 Unix file system (V7FS),14 bytes,Any byte except NUL or /[e],No limit defined[f],1 GiB[h],2 TiB,?
13,exFAT,255 UTF-16 characters,?,"32,760 Unicode characters with each path component no more than 255 characters[11]",16 EiB[11],64 ZiB (276 bytes),?
14,FAT (8-bit),6.3 (binary files) / 9 characters (ASCII files),ASCII (0x00 and 0xFF not allowed in first character),No directory hierarchy,?,?,?
15,FAT12/FAT16,8.3 (255 UCS-2 characters with LFN)[i],"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [c][e]",No limit defined[f],32 MiB (4 GiB)[j],1 MiB to 32 MiB,?
16,FAT16B/FAT16X,8.3 (255 UCS-2 characters with LFN)[i],"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [c][i][e]",No limit defined[f],2 (4) GiB[j],16 MiB to 2 (4) GiB,?
17,FAT32/FAT32X,8.3 (255 UCS-2 characters with LFN)[i],"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [c][i][e]","32,760 Unicode characters with each path component no more than 255 characters[11]",4 GiB[11],512 MiB to 16 TiB[k],?
18,FATX,42 bytes[i],ASCII. Unicode not permitted.,No limit defined[f],2 GiB,16 MiB to 2 GiB,?
19,Fossil,?,?,?,?,?,?
20,GEMDOS,8.3,"A-Z, a-z, 0-9 ! @ # $ % ^ & ( ) + - = ~ ` ; ' "" , < > | [ ] ( ) _[13]",?,?,?,?
21,APFS,255 UTF-8 characters,Unicode 9.0 encoded in UTF-8 [14],?,8 EiB,?,263 [15]
22,F2FS,255 bytes,"Any byte except NUL, /[e]",No limit defined[f],3.94 TiB,16 TiB,?
23,MFS,255 bytes,Any byte except :,No path (flat filesystem),256 MiB,256 MiB,?
24,HFS,31 bytes,Any byte except :,Unlimited,2 GiB,2 TiB,?
25,HPFS,255 bytes,Any byte except NUL[l],No limit defined[f],2 GiB,2 TiB[m],?
26,NTFS,255 characters,"In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*""?<>| as well as NUL In POSIX namespace: any UTF-16 code unit (case-sensitive) except / as well as NUL[16]","32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[f]",16 EiB[n],16 EiB[n],232
27,ReFS,255 UTF-16 characters[17],"Any Unicode except NUL, /[17]","32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[17]",16 EiB[17][18],1 YiB[17],?
28,HFS Plus,255 UTF-16 characters[o],Any valid Unicode[e][p],Unlimited,slightly less than 8 EiB,slightly less than 8 EiB[19][20],?
29,FFS,255 bytes,Any byte except NUL[e],No limit defined[f],4 GiB,256 TiB,?
30,HAMMER,255 bytes[21],Any byte except NUL[e],?,?,1 EiB[22],?
31,UFS1,255 bytes,Any byte except NUL[e],No limit defined[f],16 GiB to 256 TiB,16 EiB,"Subdirectory per directory is 32,767[23]"
32,UFS2,255 bytes,Any byte except NUL[e],No limit defined[f],512 GiB to 32 PiB,512 ZiB[24] (279 bytes),"Subdirectory per directory is 32,767[23]"
33,ext,255 bytes,Any byte except NUL[e],No limit defined[f],2 GiB,2 GiB,?
34,Xiafs,248 bytes,Any byte except NUL[e],No limit defined[f],64 MiB,2 GiB,?
35,ext2,255 bytes,"Any byte except NUL, /[e]",No limit defined[f],16 GiB to 2 TiB[d],2 TiB to 32 TiB,?
36,ext3,255 bytes,"Any byte except NUL, /[e]",No limit defined[f],16 GiB to 2 TiB[d],2 TiB to 32 TiB,?
37,ext4,255 bytes[25],"Any byte except NUL, /[e]",No limit defined[f],16 GiB to 16 TiB[d][26],1 EiB,232
38,NOVA,255 bytes,"Any byte except NUL, /[e]",No limit defined[f],16 EiB,16 EiB,?
39,Lustre,255 bytes,Any byte except NUL[e],No limit defined[f],16 EiB on ZFS,16 EiB,?
40,GPFS,255 UTF-8 codepoints,Any byte except NUL[e],No limit defined[f],No limit found,299 bytes (2 PiB tested),?
41,GFS,255 bytes,Any byte except NUL[e],No limit defined[f],2 TiB to 8 EiB[q],2 TiB to 8 EiB[q],?
42,NILFS,255 bytes,Any byte except NUL[e],No limit defined[f],8 EiB,8 EiB,?
43,ReiserFS,"4,032 bytes/255 characters",Any byte except NUL or '/'[e],No limit defined[f],"8 TiB[r] (v3.6), 4 GiB (v3.5)",16 TiB,?
44,Reiser4,"3,976 bytes",Any byte except / and NUL,No limit defined[f],8 TiB on x86,?,?
45,OCFS,255 bytes,Any byte except NUL[e],No limit defined[f],8 TiB,8 TiB,?
