,Preposition +demonstrative(Portuguese),de,em
0,este (masc.sing.)esta (fem.sing.)estes (masc.pl.)estas (fem.pl.),destedestadestesdestas,nestenestanestesnestas
1,esse (masc.sing.)essa (fem.sing.)esses (masc.pl.)essas (fem.pl.),dessedessadessesdessas,nessenessanessesnessas
2,aquele (masc.sing.)aquela (fem.sing.)aqueles (masc.pl.)aquelas (fem.pl.),daqueledaqueladaquelesdaquelas,naquelenaquelanaquelesnaquelas
