,Tag,Function,Introduced by,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
0,bgsound,Used to add sound to the background of a website,Internet Explorer,audio,<3.1[IE 3.0],No,No,No,Dropped[10]
1,blink,Used to display a blinking text,Netscape,"Javascript, CSS",No,Dropped[11],Yes,No,1.0
2,bq,Used to display a blockquote,"WebTV, HTML 3.0",blockquote,No,No,No,No,Dropped[12]
3,comment,Used to allow the addition of comments to HTML documents,"Internet Explorer, WebTV",<!-- ... -->,3.1,No,No,No,No
4,ilayer,Inline layers,Netscape (4 only),iframe,No,No,No,Partial,No
5,image,Synonym of img,?,img,3.1,Yes,Yes,Yes,Yes
6,layer,Used to create multiple layers of text and images which lay on top of each other in a given order,Netscape (4 only),"CSS, AJAX",No,No,No,Partial,No
7,marquee,"Used to display a scrolling, marquee-like text.","Internet Explorer, WebTV","JavaScript, CSS3",3.1,1.7,125,3.3,1.0
8,nobr,Prevents any line breaks from occurring within the flow of a text,Netscape[13][14],CSS,3.1,Yes,Yes,Yes,Yes
9,noembed,Displays an alternative text for browsers which do not recognize the embed tag,Netscape,Child elements of object used as fallback,3.1,Yes,Yes,Yes,Yes
10,spacer,Adds whitespace in a layout,Netscape,CSS,No,Dropped[15],No,No,No
11,wbr,Placed inside a nobr element to add a line break,Netscape[13][14],Unicode character zero-width space (U+200B),Dropped[note 10],1.7,Yes,3.1,No
12,xml[17],"Includes XML data, either inline or from an URL, in an HTML page",Internet Explorer,"AJAX, possibly XML namespaces",3.1,No,No,No,No
