,Unnamed: 0,Sensor,2004,2004.1,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3
0,,Sensor,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,Professional,Full frame,,,,,,,,,,,,,,,,,,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,α900,,,,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II,α99 II
2,Professional,Full frame,,,,,,,,,,,,,,,,,,,,,,α850,α850,α850,α850,α850,α850,α850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,High-end,APS-C,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,DG-7D,,,,,,α700,α700,α700,α700,α700,α700,α700,α700,,,,,,,,,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II,α77 II
4,Midrange,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,α65,,,,,,,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68,α68
5,Upper-entry,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,α55,α55,α55,α55,α55,α55,α55,α57,α57,α57,α57,,,,,,,,,,,,,,,,,,,,,,,
6,Upper-entry,APS-C,,,,,,,,,α100,α100,α100,α100,α100,α100,α100,,,,,,α550,α550,α550,α550,α580,α580,α580,α580,α580,α580,α580,,,,,,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,α58,,,,,,
7,Upper-entry,APS-C,,,,,DG-5D,DG-5D,DG-5D,,,,,,,,,,,,,,α500,α500,α500,α500,α560,α560,α560,α560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Upper-entry,APS-C,,,,,,,,,,,,,,,,,,,,,,,α450,α450,α450,α450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Entry-level,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,α33,α33,α33,α33,α35,α35,α35,α35,α37,α37,α37,,,,,,,,,,,,,,,,,,,,,,,
10,Entry-level,APS-C,,,,,,,,,,,,,,,α350,α350,α350,α350,α350,α380,α380,α380,α380,α390,α390,α390,α390,α390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Entry-level,APS-C,,,,,,,,,,,,,,,α300,α300,α300,α300,α300,α330,α330,α330,α330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Entry-level,APS-C,,,,,,,,,,,,,,,α200,α200,α200,α200,α200,α230,α230,α230,α230,α290,α290,α290,α290,α290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
