,Model,Launch,Code name,Architecture& Fab,Transistors& Die Size,Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Processing power[a][d](GFLOPS).1,Processing power[a][d](GFLOPS).2,Memory,Memory.1,Memory.2,Memory.3,TDP(watts),Businterface,Launch MSRP (USD)
0,Model,Launch,Code name,Architecture& Fab,Transistors& Die Size,Config[e],Clock[a] (MHz),Texture(GT/s),Pixel(GP/s),Half,Single,Double,Size (GB),Bandwidth (GB/s),Bus type& width,Clock (MT/s),TDP(watts),Businterface,Launch MSRP (USD)
1,Radeon RX 5500[108],"Q4, 2019",Navi 14,RDNA 1.0TSMC 7FF,6.4×109158 mm2,1408:88:3222 CU,16701845,146.7 162.4,53.44 59.04,"9,405 10,390","4,703 5,196",293.9 324.7,4,224,GDDR6128-bit,14000,150,PCIe 4.0 ×16,
2,Radeon RX 5700[109][110][111][112][113],"July 7, 2019",Navi 10 XL,RDNA 1.0TSMC 7FF,10.3×109251 mm2,2304:144:6436 CU,14651725,211248.4,93.8110.4,1350115900,67517949,421.9496.8,8,448,GDDR6256-bit,14000,180,PCIe 4.0 ×16,$349
3,Radeon RX 5700 XT[114][109][111][112][115],"July 7, 2019",Navi 10 XT,RDNA 1.0TSMC 7FF,10.3×109251 mm2,2560:160:6440 CU,16051905,256.8304.8,102.7121.9,1643519510,82189754,513.6609.6,8,448,GDDR6256-bit,14000,225,PCIe 4.0 ×16,$399
4,Radeon RX 5700 XT 50th Anniversary Edition[116][117][112][118],"July 7, 2019",Navi 10 XTX,RDNA 1.0TSMC 7FF,10.3×109251 mm2,2560:160:6440 CU,16801980,268.8316.8,107.5126.7,1720320276,860210138,537.6633.6,8,448,GDDR6256-bit,14000,235,PCIe 4.0 ×16,$449
