,Grammatical form,Ido,English,English.1,Esperanto,Esperanto.1
0,Singular noun,-o (libro),book,book,-o (libro),-o (libro)
1,Plural noun,-i (libri),books,books,-oj (libroj),-oj (libroj)
2,Adjective,-a (varma),warm,warm,-a (varma),-a (varma)
3,Adverb,-e (varme),warmly,warmly,-e (varme),-e (varme)
4,Present tense infinitive,-ar (irar),to be going,to go,-anti (iranti),-i (iri)
5,Past tense infinitive,-ir (irir),to have gone,to go,-inti (irinti),-i (iri)
6,Future tense infinitive,-or (iror),to be going to go,to go,-onti (ironti),-i (iri)
7,Present,-as (iras),"go, goes","go, goes",-as (iras),-as (iras)
8,Past,-is (iris),went,went,-is (iris),-is (iris)
9,Future,-os (iros),will go,will go,-os (iros),-os (iros)
10,Imperative,-ez (irez),go!,go!,-u (iru),-u (iru)
11,Conditional,-us (irus),would go,would go,-us (irus),-us (irus)
