,Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip or unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
0,Arachne,GUI,Traditional Newsreader,Yes,No,No,,,,,,Free,"DOS, Unix-like",GPL,
1,BinTube,GUI,Binary Grabber,No,Yes,Yes,Yes,Yes(3200 Days / Free),Yes,Yes,Yes,$59.95 / Free with subscription,Microsoft Windows,Proprietary,Streams media while downloading; Free with Usenet Service
2,Claws Mail,GUI,,,,,,,,,,Free,Cross-platform,GPL,
3,Forté Agent,GUI,Combination,Yes,Yes,Yes,Yes,,,Yes,,$29,Microsoft Windows,Proprietary,Includes 3 month newsgroup service trial; Shareware
4,Gnus,Text-based,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,No,Free,Cross-platform,GPL,Runs in Emacs; also does Email
5,GrabIt,GUI,Binary Grabber,Yes,Yes,Yes,Yes,Yes ( 30 days / $24.99/yr ),No,Yes,,Free (searching extra),Microsoft Windows,Proprietary,Usenet Search Service
6,KNode,GUI,Traditional Newsreader,Yes,No,No,,,Yes,Yes,,Free,Unix-like,GPL,KDE
7,Lotus Notes,GUI,Traditional Newsreader,Yes,No,No,,,,,,Varies,"Microsoft Windows, Unix-like, Mac OS X",Proprietary,
8,Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
9,Lynx,Text-based,Traditional Newsreader,Yes,No,No,,,Yes,Yes,,Free,Cross-platform,GPL,Limited USENET support
10,Mozilla Mail & Newsgroups,GUI,Traditional Newsreader,Yes,No,No,No,No,,,,Free,Cross-platform,MPL/GPL/LGPL tri-license,Replaced by SeaMonkey Mail & Newsgroups
11,Mozilla Thunderbird,GUI,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,,Free,Cross-platform,MPL,Plugin support
12,Newsbin Pro,GUI,Binary Grabber,Yes,Yes,Yes,Yes,Yes ( $10/yr ),Yes,Yes,,$20,Microsoft Windows,Proprietary,Shareware
13,NewsLeecher,GUI,Combination,Yes,Yes,Yes,Yes,Yes Optional extra Add $10 per year,No,Yes,,Varies,Microsoft Windows,Proprietary,Shareware
14,Novell GroupWise,GUI,Traditional Newsreader,Yes,No,No,,,,,,Varies,"Microsoft Windows, Unix-like",Proprietary,
15,Opera Mail,GUI,Traditional Newsreader,Yes,No,No,,No,Yes,Yes,,Free,Cross-platform,Proprietary,Part of Opera up to version 12.17
16,Outlook Express,GUI,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,,,Microsoft Windows,Proprietary,Part of Microsoft Windows (up to Windows Server 2003)
17,Pan,GUI,Combination,Yes,No,Yes,No,,Yes,Yes,,Free,"Unix-like, Microsoft Windows",GPL,Gtk+
18,Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip & unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
19,Seamonkey Mail & Newsgroups,GUI,Traditional Newsreader,Yes,No,No,No,No,,,,Free,Cross-platform,MPL,Replaced Mozilla Mail & Newsgroups
20,slrn,text-based,Traditional Newsreader,Yes,Yes (using macros),Yes (using macros),Yes (using macros),No,Yes,Yes,No,Free,Cross-platform,GPLv2+,Highly extensible using S-Lang scripts (macros)
21,Sylpheed,GUI,Traditional Newsreader,Yes,No,No,,,,Yes,,Free,Cross-platform,GPL/LGPL,Gtk+
22,tin,text-based,Traditional Newsreader,Yes,No,No,No,,Yes,No,,Free,Unix-like,BSD,Free Software
23,Unison,GUI,Combination,Yes,Yes,Yes,Yes,,Yes,Yes,Yes (audio only),Free,Mac OS X,Proprietary,Development has ceased. Free but unsupported.
24,Usenet Explorer,GUI,Combination,Yes,Yes,Yes,Yes,Yes ( 1500 days / $23.34/yr ),Yes,Yes,,$35,Microsoft Windows,Proprietary,Shareware
25,Windows Live Mail,GUI,Traditional Newsreader,Yes,,,,,Yes,,,Free,Microsoft Windows,Proprietary,
26,Windows Mail,GUI,Traditional Newsreader,Yes,,,,,Yes,,,,Microsoft Windows,Proprietary,Part of Windows Vista and Windows Server 2008
27,Xnews,GUI,Combination,Yes,No,No(Can create NBZs),,,No,,,Free,Microsoft Windows,Proprietary,
28,XPN,GUI,Traditional Newsreader,Yes,No,No,,,,Yes,,Free,Cross-platform,GPL,
29,Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
