,Unnamed: 0,Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,Font ID & replace
0,Easy Trace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,FreeHand,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2,Graphic Tracer Professional,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Illustrator,Yes,Yes,Yes,Yes,Yes,No,Yes,No
4,Potrace,,,,,,,,No
5,ImageTracer,,,,,,,,No
6,Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,WinTopo Pro,?,Yes,Yes,Yes,Yes,?,?,No
8,,Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,
