,Model,Launch,Code name,Fab (nm),Bus interface,Clock rate,Clock rate.1,Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power(GFLOPS),Processing power(GFLOPS).1,API compliance (version),API compliance (version).1,API compliance (version).2,API compliance (version).3,TDP (Watts),Notes
0,Model,Launch,Code name,Fab (nm),Bus interface,Core (MHz),Memory (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,TDP (Watts),Notes
1,FirePro W4300[219],"December 1, 2015",Bonaire PRO (GCN 2nd Gen),28,PCIe 3.0 x16,930,1500,768:48:16:12[220],14.88,44.64,4,96,GDDR5,128,1428.5,89.3,11.2/12.0 SM 5.0,4.5,"2.0 (2.1 beta, 2.2 possible)",1.0,<50,"4 Mini DisplayPort 1.2a outputs, low profile"
