36,,OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
37,Renoise,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,"MP4, MP4A, CAF, SFZ"
38,RiffWorks,No,No,No,Export,No,No,Export,Yes,No,No,
39,Rosegarden,No,No,Yes[7],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Csound, Mup, MuxicXML, h2song[8]"
40,Samplitude,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"WMA, RealAudio"
41,Sound Forge,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,"SWF (open only), RealAudio & RealVideo (export only), WMA and WMV, AVI, AIF, SND, MPEG-1 and MPEG-2, AU, DIG, IVC, PCA, W64, FRG, VOX, AA3, OMA, CDA, AC-3 studio (save only), RAW"
42,Soundbooth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
43,Soundscape 32,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
44,SoX,Unknown,Unknown,Unknown,Yes,External LAME,Unknown,Yes,Unknown,Yes,Yes,AU and other audio file formats
45,SpectraLayers,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,".caf, .alac, RAW/PCM, .rm, .au, .snd, AVI, MXF, MP1, MP2, MP4, MKV, Quicktime, .vob, .wmv, WMA"
46,Studio One,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"OpenTL, BWF, RF64, PreSonus Capture Session, Steinberg Cubase Track Archive, Steinberg Sequel Project, Kristal Audio Engine Project[9]"
47,Sweep,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,"Various versions of WAV (integer, floating point, GSM, and compressed formats); Microsoft PCM, A-law and u-law formats; AIFC and RIFX; various AU/SND formats (Sun/NeXT, Dec AU, G721 and G723 ADPCM); RAW header-less PCM files; Amiga IFF/8SVX/16SV PCM files; Ensoniq PARIS (.PAF); Apple's Core Audio Format (CAF) and others."
48,Total Recorder,No,No,No,No,Yes,No,Yes,No,No,Yes,"PCM (uncompressed), WMA, Monkey's Audio (APE)."
49,Tracktion,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
50,Traverso,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,No,Yes,WavPack
51,WaveLab,No,No,Controllers,Yes,Yes,Yes,Yes,No,Yes,Yes,"AU, MP2, RAW"
52,WavePad,No,No,Import,Yes,Yes,Yes,Yes,No,Yes,Yes,"import midi, Sun AU, MPEG4 audio, GSM, RAW, Dialogic VOX, AMR Narrowband, Musepack, Monkey's Audio Codec, others"
53,WaveSurfer,No,No,No,Yes,Import,No,With plugin,No,Yes,No,"Import: AU, CSL, SD Export: AU"
54,,OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
