,Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
0,Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,Yes,No,GNU GPL,Free,1998,United States,
1,FRISK Software International,F-PROT Antivirus,Yes,Yes,No,Yes,No,No,Yes,Yes,Proprietary,Trialware,1989,Iceland,
2,Panda Security,Panda DesktopSecure for Linux,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Proprietary,?,2009,Spain,
3,Company,Software,On-demand scan,On-access scan,Firewall,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
