,Client,Microsoft Windows,macOS,Linux,BSD,Unix,DOS,Other
0,Alpine,Yes,Yes,Yes,Yes,Yes,No,No
1,Apple Mail,No,Yes,No,No,No,No,No
2,Balsa,No,No,Yes,Yes,No,No,No
3,Becky! Internet Mail,Yes,No,No,No,No,No,No
4,Citadel,No,Yes,Yes,Yes,Yes,No,No
5,Claws Mail,Yes,Yes,Yes,Yes,Yes,No,No
6,Cone,No,Yes,Yes,Yes,Yes,No,No
7,Courier,Yes,No,No,No,No,No,No
8,Elm,No,Yes,Yes,Yes,Yes,No,No
9,eM Client,Yes,No,No,No,No,No,No
10,EmailTray,Yes,No,No,No,No,No,No
11,Eudora,Yes,Yes,No,No,No,No,No
12,Eureka Email,Yes,No,No,No,No,No,No
13,Evolution,No [Note 1],No,Yes,Yes,Yes,No,No
14,Forté Agent,Yes,No,No,No,No,No,No
15,Geary,No,No,Yes,Yes,Yes,No,No
16,Gnus,Yes,Yes,Yes,Yes,Yes,Yes,No
17,GroupWise,Yes,Yes,Yes,Yes,No,No,No
18,Hiri,Yes,Yes,Yes,No,Yes,No,No
19,i.Scribe / InScribe,Yes,Yes,Yes,No,No,No,No
20,IBM Lotus Notes,Yes,Yes,Yes,No,Yes,No,No
21,IMP,Yes,Yes,Yes,Yes,Yes,No,No
22,KMail,No,Yes,Yes,Yes,Yes,No,No
23,Mailbird,Yes,No,No,No,No,No,No
24,Mailpile,Yes [Note 2],Yes [Note 2],Yes,Yes [Note 3],Yes [Note 3],No [Note 4],No [Note 4]
25,mailx,No,No,Yes,Yes,Yes,No,No
26,Microsoft Entourage,No,Terminated (2008),No,No,No,No,No
27,Microsoft Office Outlook,Yes,Yes,No,No,No,No,No
28,Mozilla Mail & Newsgroups,Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),Terminated (1.7.13),No,No
29,Mozilla Thunderbird,Yes,Yes,Yes,Yes,Yes,No,No
30,Mulberry,Yes,Yes,Yes,Yes,Yes,No,No
31,Mutt,Yes,Yes,Yes,Yes,Yes,Yes[23],No
32,Netscape Messenger,Terminated (4.80),Terminated (4.80),Terminated (4.80),Terminated (4.80),Terminated (4.80),No,No
33,Netscape Messenger 9,Terminated (9.0a1),Terminated (9.0a1),Terminated (9.0a1),Terminated (9.0a1),Terminated (9.0a1),No,No
34,nmh / MH,No,Yes,Yes,Yes,Yes,No,No
35,Opera Mail,Yes,Yes,Yes,Yes,?,No,No
36,Outlook Express,Included (up to XP),No,No,No,No,No,No
37,Pegasus Mail,Yes,No,No,No,No,Yes,NetWareNLM
38,Pine,Yes,Yes,Yes,Yes,Yes,Terminated (3.96)[24],No
39,Pocomail,Yes,No,No,No,No,No,No
40,RoundCube,Yes,Yes,Yes,Yes,Yes,No,No
41,SeaMonkey Mail & Newsgroups,Yes,Yes,Yes,Yes,Yes,No,No
42,Spicebird,Yes,planned,Yes,Yes,No,No,No
43,SquirrelMail,Yes,Yes,Yes,Yes,Yes,No,No
44,Sylpheed,Yes,Yes,Yes,Yes,Yes,No,No
45,The Bat!,Yes,No,No,No,No,No,No
46,Trojitá,Yes,Yes,Yes,Yes,Yes,No,MeeGo
47,Turnpike,Yes,No,No,No,No,No,No
48,Windows Live Mail,Yes,No,No,No,No,No,No
49,Windows Mail,Included (Vista),No,No,No,No,No,No
50,YAM,No,No,No,No,No,No,AmigaOSAROSMorphOS
51,Zimbra,Yes,Yes,Yes,Yes,Yes,No,No
52,Client,Microsoft Windows,macOS,Linux,BSD,Unix,DOS,Other
