,Medieval Spanish and Portuguese,Medieval Spanish and Portuguese.1,"Modern Portuguese1,2","Modern Portuguese1,2.1",Modern Spanish1,Modern Spanish1.1,Modern Spanish1.2
0,Spelling,Pronunciation,Pronunciation,Examples,Spelling,Pronunciation,Examples
1,"s-, -ss-",/s/,/s/,"saber 'to know',passar 'to pass'",s,/s/,"saber, pasar"
2,-s-,/z/,/z/,casa 'house',s,/s/,casa
3,ç/c,/ts/,/s/,"açor 'hawk', cego 'blind'",z/c,/θ/ or /s/,"azor, ciego"
4,z,/dz/,/z/,fazer 'to do',z/c,/θ/ or /s/,hacer
5,x,/ʃ/,/ʃ/,oxalá 'I hope; God grant',j/g,/x/,ojalá
6,j/g,/dʒ ~ ʒ/,/ʒ/,"jogar 'to play', gente 'people'",j/g,/x/,"jugar, gente"
7,ch,/tʃ/,/ʃ/,chuva 'rain',ch,/tʃ/,chubasco 'cloudburst'(from Port. chuvasco)
