,Software,Keywords,Descriptions,Custom Tag Fields,Metadata,Knowledge Tags,Notes
0,Connectbeam,Yes,Yes,No,No,No,none
1,Dogear,Yes,No,No,No,No,none
2,Jumper 2.0,Yes,Yes,Yes,Yes,Yes,none
3,Knowledge Plaza,Yes,Yes,Yes,Yes,No,none
4,Scuttle,Yes,Yes,No,No,No,none
