,Unnamed: 0,Trident,Gecko,WebKit,KHTML,Presto
0,Unordered and ordered lists,Unordered and ordered lists,Unordered and ordered lists,Unordered and ordered lists,Unordered and ordered lists,Unordered and ordered lists
1,ul,<3.1[IE 4.0],1.0,Yes,Yes,1.0
2,ol,<3.1[IE 4.0],1.0,Yes,Yes,1.0
3,li,<3.1[IE 4.0],1.0,Yes,Yes,1.0
4,Definition lists,Definition lists,Definition lists,Definition lists,Definition lists,Definition lists
5,dl,<3.1[IE 4.0],1.0,Yes,Yes,1.0
6,dt,<3.1[IE 4.0],1.0,Yes,Yes,1.0
7,dd,<3.1[IE 4.0],1.0,Yes,Yes,1.0
