,Resort name,Nearest city,Peak elevation (ft),Base elevation (ft),Vertical drop,Skiable acreage,Total trails,Total lifts,Avg annual snowfall,Adult single day lift ticket price,Date statistics updated
0,Squaw Valley USA,Truckee,9050.0,6200,2850.0,4000.0,170.0,33.0,"460""",$93 USD,"February, 2012"
1,Mammoth Mountain,Mammoth Lakes,11053.0,7953,3100.0,3500.0,150.0,28.0,"420""","$59 starting, then peaks at $100","November 14, 2012[1]"
2,Heavenly Mountain Resort,South Lake Tahoe,10067.0,6255,3812.0,4800.0,94.0,30.0,"360""",$136,"November 14–20, 2012"
3,Mount Shasta Ski Park,Mount Shasta,6866.0,5476,1435.0,425.0,32.0,4.0,"275""",$44,"April 20, 2012"
4,Alpine Meadows,Truckee,8637.0,6835,1802.0,2400.0,,14.0,"365""",$92,"April 20, 2012"
5,Boreal,Soda Springs,7700.0,7200,500.0,380.0,41.0,8.0,"400""","$52 weekday, $58 holiday","November 19, 2012"
6,Donner Ski Ranch,Norden,7781.0,7031,750.0,435.0,52.0,8.0,"400""",$45,"April 20, 2012"
7,Homewood,Homewood,7881.0,6223,1658.0,1260.0,60.0,7.0,"400""",$57,"April 20, 2012"
8,Kirkwood,Kirkwood,9800.0,7800,2000.0,2300.0,65.0,15.0,"500""",$79,"April 20, 2012"
9,Northstar at Tahoe,Truckee,8610.0,6330,2280.0,2904.0,93.0,19.0,"350""",$72 November 14–20,"November 19, 2012"
10,Sierra-at-Tahoe,Twin Bridges,8852.0,6640,2212.0,2000.0,46.0,12.0,"480""",$77,"April 20, 2012"
11,Sugar Bowl,Norden,8383.0,6883,1500.0,1500.0,94.0,13.0,"500""",$80 daily and $85 holidays,"November 19, 2012"
12,Soda Springs,Soda Springs,7325.0,6673,652.0,200.0,15.0,2.0,"400""",$36,"April 20, 2012"
13,Tahoe Donner,Truckee,7350.0,6750,600.0,120.0,10.0,3.0,"400""",$41,"April 20, 2012"
14,Badger Pass,Yosemite National Park,8000.0,7200,800.0,90.0,10.0,5.0,"300""",$42,"April 20, 2012"
15,Bear Valley,Angels Camp,8500.0,"6,600 (mid-mountain 7550)",1900.0,1680.0,67.0,10.0,"359""","$74 peak, $69 off peak","Oct 1, 2015"
16,Dodge Ridge,Sonora,8200.0,6600,1600.0,832.0,62.0,12.0,"300""",,"April 20, 2012"
17,June Mountain,June Lake,10090.0,7545,2590.0,500.0,35.0,7.0,"250""",,"April 20, 2012"
18,China Peak,Lakeshore,8709.0,7030,1673.0,1200.0,45.0,11.0,"300""",,"April 20, 2012"
19,Alta Sierra,Wofford Heights,7091.0,6491,600.0,,6.0,2.0,,,"April 20, 2012"
20,Buckhorn Ski and Snowboard Club,Three Points,7903.0,7203,680.0,40.0,5.0,2.0,"180""",,"April 20, 2012"
21,Bear Mountain,Big Bear Lake,8805.0,7104,1665.0,198.0,24.0,12.0,"100""","$59 weekday, $72 holiday and peak weekends","November 14, 2012"
22,Kratka Ridge,,7500.0,6750,750.0,,13.0,3.0,,,"April 20, 2012"
23,Mount Baldy Ski Lifts,Mount Baldy,8600.0,6500,2100.0,800.0,26.0,4.0,"170""",,"April 20, 2012"
24,Mount Waterman,Three Points,8030.0,7000,1030.0,150.0,27.0,3.0,"180""",,"April 20, 2012"
25,Mountain High,Wrightwood,8200.0,6600,1600.0,290.0,59.0,13.0,,"$59 weekday, $69 holiday and peak weekends","November 14, 2012"
26,Snow Summit,Big Bear Lake,8174.0,6965,1209.0,240.0,30.0,14.0,"100""","$89 weekday, $72 holiday and peak weekends","February 27, 2018"
27,Snow Valley Mountain Resort,Running Springs,7841.0,6800,1041.0,240.0,29.0,12.0,"150""",,"April 20, 2012"
28,Cedar Pass Ski Area,Alturas,,,,,,,,$20,"August 1, 2019[2][3][4]"
