,Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate.1,Fillrate.2,Fillrate.3,Memory,Memory.1,Memory.2,Memory.3
0,Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
1,Radeon 9000,2003,RC350,FSB,300,400,4:1:2:2,600,600,600,75,16 - 128,3.2,DDR,64
2,Radeon 9100,2003,RS300 (superman),FSB,300,400,4:1:2:2,600,600,600,75,16 - 128,6.4,DDR,128
3,Radeon 9100 Pro,"May 3, 2004",RS350,FSB,300,400,4:1:2:2,600,600,600,75,16 - 128,6.4,DDR,128
