,Unnamed: 0,First public release,First public release.1,First stable release,First stable release.1,Latest stable release
0,Client,Date,Version,Date,Version,Latest stable release
1,AdiIRC,2005,1.0,,,"3.5 (June 30, 2019; 5 months ago[30]) [±]"
2,Bersirc,1999,,,,2.2.14 (12 August 2005; 14 years ago) [±]
3,BitchX,1996,,,,"1.2.1 (November 14, 2014; 5 years ago) [±]"
4,ChatZilla,2001,,,,"0.9.93 (November 8, 2016; 3 years ago[31]) [±]"
5,Colloquy,2005,,,,"2.4.3 (6011) (March 22, 2014; 5 years ago) [±]"
6,degesch,2015,0.9,2015,0.9,
7,DMDirc,2007,,,,"0.7 (January 5, 2013; 6 years ago[32]) [±]"
8,ERC,1999?,,,,ERC improvements are now released as part of Emacs. [±]
9,F-IRC,2006?,0.1,,,"1.36 (February 23, 2014)"
10,HexChat,2009-10-04,r249,2009-10-09,2.86.0,"2.14.2 (August 29, 2018; 15 months ago) [±]"
11,HydraIRC,2002,,,,"0.3.165 (December 12, 2008; 10 years ago) [±]"
12,IceChat,2002,3.0,2002-04-08,3.0,"9.22 (June 1, 2019; 6 months ago) [±]"
13,ircII,1990,,,,"20190117 (January 17, 2019; 10 months ago) [±]"
14,IRCjr,2008,,2008,,"mTCP_2013-04-26 (April 26, 2013; 6 years ago[33]) [±]"
15,Ircle,1995,,,,"3.5a6 (November 17, 2007; 12 years ago) [±]"
16,Irssi,1999,,,,"1.2.2 (August 29, 2019; 3 months ago) [±][34]"
17,jIRCii,?,?,,,?
18,KVIrc,1998,0.6.0,1999-12-21,1.0.0,"5.0.0 (January 1, 2019; 11 months ago[35]) [±]"
19,Konversation,2002,,,,1.7.5 (27 June 2018; 17 months ago[36]) [±]
20,LeafChat,?,1.0,,,"2.41 (October 4, 2011; 8 years ago) [±]"
21,LimeChat,2007,,,,"Mavericks / Mountain Lion 2.42 (June 22, 2014; 5 years ago) [±] Lion 2.38 (September 12, 2013; 6 years ago) [±]"
22,Linkinus,2007,,,,"2.4.3 (August 23, 2011; 8 years ago[37]) [±]"
23,Mibbit,2008,,,,"web application, no version"
24,mIRC,1995,,,,"7.58 (November 17, 2019; 16 days ago[38]) [±]"
25,Nettalk,2004,,,,"6.7.16 (October 30, 2012; 7 years ago[39]) [±]"
26,Opera,1996,,,,65.0.3467.48 (20 November 2019; 13 days ago[40])
27,PIRCH,1995,,,,"1.0.1.1190 (January 1, 2001; 18 years ago) [±]"
28,PJIRC,2002,,,,"2.2.1 (November 29, 2004; 15 years ago) [±]"
29,Quassel,2008-08-27,0.3.0,,,"0.13.1 (February 18, 2019; 9 months ago) [±]"
30,qwebirc,2009,0.81,,,"0.92 (February 13, 2012; 7 years ago) [±]"
31,rIRC,2010,Preview Release 1,2012,1.44,"1.4.4 (January 16, 2012)"
32,Scrollback,2013,,2013,,
33,rcirc,?,?,,,rcirc improvements are now released as part of Emacs. [±]
34,Smuxi,2008-07-29,0.6,2010-09-03,0.8,"1.0.7 (June 18, 2017; 2 years ago) [±]"
35,Snak,1997,,,,"5.3.4 (March 11, 2012; 7 years ago[41]) [±]"
36,Visual IRC,1995,,,,"2.0pl2 (December 30, 2007; 11 years ago) [±][42]"
37,WeeChat,2003,,,,"2.6 (June 6, 2019; 5 months ago[43]) [±]"
38,XChat,1998,,,,"2.8.8 (source) (May 30, 2010; 9 years ago) [±]2.8.9 (windows) (August 28, 2010; 9 years ago) [±]"
39,Client,Date,Version,Date,Version,Latest stable release
40,Client,First public release,First public release,First stable release,First stable release,Latest stable release
