,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,area,<3.1[IE 1.0] [8],Yes,Yes,Yes,Yes,Yes,Yes
1,map,<3.1[IE 1.0] [8],Yes,Yes,Yes,Yes,Yes,Yes
