,Format,Filename extension,Created by,Introduced in,Based on,Compression,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution,Pre-processing,License
0,Archive (ar),".a, .ar",CSRG,1971,Original,No,No,No,No,No,1 s,?,?
1,cpio,.cpio,Bell Labs,1983 Unix System V,?,No,"Partial, select formats only",No,No,No,1 s,No,?
2,Shell Archive (shar and makeself),".shar, .run","James Gosling, Alan Hewett",1994 4.4BSD,Original,No,"Yes, commonly MD5",Partial,Partial,Partial,arbitrary (typically 1 s),No,"Public domain (shar 1.x - 3.x), GPL (shar 4.x)"
3,Tape Archive (tar),.tar,Bell Labs,1975 Version 6 Unix,?,No,"Partial, metadata only. Full integrity providable by filters such as gzip.",No,No,Optional1,1 s,No,?
4,Extended TAR format (pax),.tar,OpenGroup,2001,Sun proposal + TAR,No,metadata,No,No,Yes,arbitrary (typically 1 ns),No,?
5,BagIt,–,The Library of Congress,2007,file system,No,Yes,No,No,Yes,No,?,?
6,7z,.7z,Igor Pavlov,2000,"LZMA, LZMA2, Bzip2, PPMd, DEFLATE",Yes,"Yes, CRC32",No,"Yes, AES-256",Yes,100 ns[1],Yes,"LGPL, Public domain"
7,ACE,.ace,Marcel Lemke,1998[2],LZ77,Yes,Yes,Yes,"Yes, Blowfish",Yes,2s,?,Proprietary software
8,AFA,.afa,Vicente Sánchez-Alarcos,2009,Original,Yes,Yes,Yes,"Yes, AES and CAST",Yes,?,?,?
9,ARC,.arc,Thom Henderson (SEA),1985,?,Yes,CRC16,No,weak XOR only,No,2s,?,?
10,ARJ,.arj,Robert Jung,1991,AR001 and AR002,Yes,Yes,Yes,weak XOR with initial constant,No,?,?,Proprietary software
11,B1,.b1,Catalina Group Ltd,2011,LZMA,Yes,Yes,No,"Yes, AES",Yes,?,?,?
12,Cabinet,.cab,Microsoft,1992 Windows 3.1,DEFLATE,Yes,Optional PKCS7 Authenticode signature,No,Optional (with SDK),Yes,2 s,?,?
13,Compact File Set,.cfs,Joe Lowe (Pismo Technic Inc.),2008,ZIP/LZMA,Yes,Yes,?,Yes,Yes,?,?,Free software
14,Compact Pro,.cpt,Bill Goodman,"1990 (as ""Compactor"")",Original,Yes,Yes,No,Yes,?,?,?,Proprietary software
15,Disk Archive (DAR),.dar,Denis Corbin,2002,Original,Yes,Yes,Yes2,Yes,Yes,1 µs,Yes,GPLv2
16,DGCA,.dgc,Shin-ichi Tsuruta,2001,GCA,Yes,Yes,Yes,Yes,Yes,?,?,?
17,FreeArc,.arc,Bulat Ziganshin,2006,"LZMA, PPMd, TTA",Yes,Yes,Yes,"Yes, AES, Blowfish, Twofish and Serpent",Yes,?,?,GPLv2
18,LHA (also LZH),".lzh, .lha",Haruyasu Yoshizaki,1988,Frozen,Yes,Only on recent LHA releases,No,No,No,1–2 s,?,?
19,LZX,.lzx,Jonathan Forbes and Tomi Poutanen,1995,LZ77,Yes,Only on recent LZX releases,?,?,?,?,?,?
20,ISO image,".iso, .img, .ima",ISO 9660,1988,High Sierra Format,No,?,?,?,?,?,?,?
21,SparkFS,.arc,David Pilling,1989,?,Yes,?,?,?,?,?,?,?
22,WinMount format,.mou,?,2007,?,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software
23,Macintosh Disk Image,.dmg,Apple Computer,2001 Mac OS X,Original,Yes,Yes,?,Yes,?,?,?,?
24,Partition Image (PartImage),.partimg,François Dupoux and Franck Ladurelle,2000,?,Yes,?,?,?,?,?,?,GPLv2
25,PAQ Family (Several formats)4,".paq#*, .lpaq#*",Matt Mahoney,2002–2006,Original,Yes,?,?,?,?,?,?,?
26,PEA,.pea,Giorgio Tani,2006,"Original, Deflate based compression",Yes,"Yes Adler32, CRC32, CRC64, MD5, SHA1, RIPEMD-160, SHA256, SHA512, Whirlpool",No,"Yes Authenticated Encryption, AES128 and AES256 in EAX mode",Yes system dependent,Yes arbitrary,?,Public domain
27,PIM,.pim,Ilia Muraviev,2004–2008,Original,Yes,Yes,No,No,Yes,No,?,?
28,Quadruple D,.qda,Taku Hayase (aka sandman),1997,?,Yes,?,?,?,?,?,?,?
29,RAR,.rar,Eugene Roshal,1993,Original,Yes,"Yes, CRC32, BLAKE2","Yes, Reed–Solomon","Yes, AES-256 for RAR 5.0 archives","Yes, UTF-8","2 s, 1 s, 6.5536 ms, 25.6 µs or 100 ns3",Dropped,Proprietary software
30,RK,.rk,"M Software, Ltd.",2004,Original,Yes,Yes,No,"Yes, AES, Square, Twofish",Yes,1 s,?,?
31,NuFX,.shk,Andy Nicholas,1989,Original,Yes,CRC16,No,No,No,1 s,?,?
32,StuffIt (also SIT),.sit,Raymond Lau,1987,?,Yes,?,?,Yes,?,?,?,Proprietary software
33,StuffIt X (also SITx),.sitx,Aladdin/Allume Systems,2002,?,Yes,?,Optional,"Yes, RC4,Blowfish,AES,DES",Yes,?,?,Proprietary software
34,UltraCompressor II,.uc .uc0 .uc2 .ucn .ur2 .ue2,Nico de Vries,1992–1996,LZ77 and Huffman coding,Yes,Yes,Yes,"Yes, triple DES",?,?,?,?
35,Windows Image,".wim, .swm, .esd",Microsoft,2006,Original,Yes,Yes,No,Partial5,Yes,100 ns,?,?
36,ZIP (also PKZIP),.zip,Phil Katz,1989,DEFLATE,Yes,Yes,No,"Yes, AES",Yes,"1–2 s, depending on version",?,?
37,ZPAQ,.zpaq,Matt Mahoney,2009,PAQ,Yes,"Yes, SHA-1",No,"Yes, AES-256",Yes,?,?,"MIT, Public domain"
