,CardSlot,CF,CF.1,CFast,SM,MMC,MMC.1,Memory Stick,Memory Stick.1,Memory Stick.2,Memory Stick.3,SDSC,SDSC.1,SDSC.2,SDHC,SDHC.1,SDHC.2,SDXC,SDXC.1,xD,xD.1,xD.2,XQD
0,CardSlot,I,II,,,MMC,"RS-MMC, MMCmobile",Std,PRO,PRO Duo,Micro,SDSC,miniSD,microSD,SDHC,miniSDHC,microSDHC,SDXC,microSDXC,Std,M,H,
1,ExpressCard,E[35],E[35],,,E[36],,E[37],E[37],E[36],,E[36],E[36],E[38],,,,,,E[36],E[36],E[36],EM
2,PCI Express Mini Card,,,,,,,,,,,,,,,,,,,,,,EM
3,mSATA,,,XM,,,,,,,,,,,,,,,,,,,
4,PC Card,EM[39],EM[39],,E[40],E[41],,E[41],E[41],,,E[41],,,,,,,,,,,
5,PCMCIA,EM[39],EM[39],,E[40],E[41],,E[41],E[41],,,E[41],,,,,,,,,,,
6,CF I,+,+,,E,E[42],,E[43],E[43],E[44],,E[42],,,,,,,,E[45],E[45],E[45],
7,CF II,,+,,E,E[42],,E[43],E[43],,,E[42],,,,,,,,E[45],E[45],E[45],
8,CFast,,,+,,,,,,,,,,,,,,,,,,,
9,SM,,,,+,,,,,,,,,,,,,,,X[46],X[46],X[46],
10,xD,,,,,,,,,,,,,E[47],,,,,,+,+,+,
11,XQD,,,,,,,,,,,,,,,,,,,,,,+
12,MMC,,,,,+,M,,,,,D[48],,,,,,,,,,,
13,MS,,,,,X[49],,+,+,M,M,X[49],X[49],E[50],,,,,,,,,
14,SDSC,,,,,D,M,,,,,+,EM,EM,,,,,,,,,
15,miniSD,,,,,,,,,,,,+,EM,,,,,,,,,
16,microSD,,,,,,,,,,,,,+,,,,,,,,,
17,SDHC,,,,,,,,,,,D[51],EM,EM,+,EM,EM,,,,,,
18,miniSDHC,,,,,,,,,,,,D[51],EM,,+,EM,,,,,,
19,microSDHC,,,,,,,,,,,,,D[51],,,+,,,,,,
20,SDXC,,uscb,,,,,,,,,D[52],EM,EM,D[52],EM,EM,+,EM,,,,
21,microSDXC,,,,,,,,,,,,,D[52],,,D[52],,+,,,,
22,IDE PATA,EM[53],EM[53],,,,,,,,,E[54][55],,,,,,,,,,,
23,Serial ATA,E[56],E[56],EM,,,,,,,,,,,,,,,,,,,
24,PCI Express,,,,,,,,,,,,,,,,,,,,,,EM
25,USB,X[57],X[57],,X[57],X[57],,X[57],X[57],E[58],E[58],E[59],,E[60],,,,,,X[57],X[57],X[57],X
26,Floppy,,,,E[61],E,E + M,E,E,,,,,,,,,,,,,,
27,Nintendo DS Slot-1,,,,,,,,,,,,,E[62],,,,,,,,,
28,Nintendo DS Slot-2,,,,,,,,,,,E[63],E[63],E[63],,,,,,,,,
