,Maker,Model,Number,E-Books,E-Books.1,E-Books.2,E-Books.3,E-Books.4,E-Books.5,E-Books.6,E-Books.7,E-Books.8,E-Books.9,E-Books.10,E-Books.11,E-Books.12,E-Books.13,E-Books.14,E-Books.15,E-Books.16,E-Books.17,E-Books.18,E-Books.19,Images,Images.1,Images.2,Images.3,Images.4,Audio/Video,Audio/Video.1,Audio/Video.2,Audio/Video.3,Audio/Video.4,Audio/Video.5,Audio/Video.6
42,Kobo,eReader WiFi,09,No,Yes,Yes,No,No,No,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
43,Kobo,eReader Touch,14,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Partial (raw markup),No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
44,Kogan.com,Kogan eBook Reader,16,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
45,Kolporter,eClicto,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
46,Manta,Ebook04,15,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,No,Yes,No,Yes
47,Newsmy,e6210,Unknown,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
48,Onyx Inc.,Boox&A60/60S,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
49,Onyx Inc.,Boox X60/60S,22,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No
50,Onyx Inc.,Boox M90/90S,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
51,Onyx Inc.,Boox M92/92s,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
52,Onyx Inc.,Boox M96,26+,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
53,Onyx Inc.,BOOX I62,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
54,Onyx Inc.,BOOX I62HD,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
55,Onyx Inc.,BOOX I62ML,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial (no DRM),No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
56,PocketBook,PocketBook 360 Plus,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
57,PocketBook,PocketBook Pro 602,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
58,PocketBook,PocketBook Pro 603,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
59,PocketBook,PocketBook Pro 902,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
60,PocketBook,PocketBook Pro 903,18,No,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
