,Name,Version,Date
0,BProlog,8.1,2014-02-23
1,JIProlog,4.1.6.1,2018-03-17
2,Ciao,1.18.0,2018-12-19
3,DOS-PROLOG,6.0,
4,ECLiPSe,7.0,2018-01-22
5,GNU Prolog,1.4.5,2018-07-14
6,Jekejeke Prolog,1.3.1,2018-11-02
7,JLog,1.3.6,2007-09-13
8,JScriptLog,0.7.5 beta,2007-09-10
9,jTrolog,,
10,LPA-PROLOG,6.0,
11,Open Prolog,,
12,Poplog Prolog,V15.65,2015-10-14
13,SICStus Prolog,4.5.1,2019-04-03
14,Strawberry Prolog,3.0 Beta 4,2013-12-10
15,SWI-Prolog,8.0.3,2019-06-19
16,tuProlog,3.2.1,2017-02-14
17,Visual Prolog,"9.0, Build 902",2019-04-26
18,XSB Prolog,3.8,2017-10-29
19,YAProlog,6.3.3,2013-01-21
