,Format,Languages
0,"std.string.join(array_of_strings, separator)",D
1,"string:join(list_of_strings, separator)",Erlang
2,"join(separator, list_of_strings)","Perl, PHP, Raku"
3,"implode(separator, array_of_strings)",PHP
4,separator.join(sequence_of_strings),"Python, Swift 1.x"
5,array_of_strings.join(separator),"Ruby, JavaScript, Raku"
6,(string-join array_of_strings separator),Scheme (SRFI 13)
7,"(format nil ""~{~a~^separator~}"" array_of_strings)",Common Lisp
8,(clojure.string/join separator list_of_strings) (apply str (interpose separator list_of_strings)),Clojure
9,"strings.Join(array_of_strings, separator)",Go
10,"join(array_of_strings, separator)",Seed7
11,String.concat separator list_of_strings,OCaml
12,String.concatWith separator list_of_strings,Standard ML
13,Data.List.intercalate separator list_of_strings,Haskell (GHC 6.8+)
14,"Join(array_of_strings, separator)",VB
15,"String.Join(separator, array_of_strings)","VB .NET, C#, F#"
16,"String.join(separator, array_of_strings)",Java 8+
17,"&{$OFS=$separator; ""$array_of_strings""}, or array_of_strings -join separator",Windows PowerShell
18,[array_of_strings componentsJoinedByString:separator],Objective-C (NSString * only)
19,"table.concat(table_of_strings, separator)",Lua
20,{|String streamContents: [ :stream | collectionOfAnything asStringOn: stream delimiter: separator ] collectionOfAnything joinUsing: separator,"Smalltalk (Squeak, Pharo)"
21,"array_of_strings.join(separator«, final_separator»)",Cobra
22,sequence_of_strings.joinWithSeparator(separator),Swift 2.x
23,"1↓∊separator,¨list_of_strings",APL
