,Client,HTML email,UTF-8 support,Image blocking,Junk filtering,Junk filtering.1,Phishing filtering,Thread view,Conversation view,PGP support,PGP support.1,S/MIME support,S/MIME support.1,S/MIME support.2,S/MIME support.3
0,Client,HTML email,UTF-8 support,Image blocking,local,server- side,Phishing filtering,Thread view,Conversation view,inline,PGP/MIME or OpenPGP,protocol,OCSP,CRL,"certificates on tokens, smartcards support"
1,Alpine,Read only,Yes,Yes,?,?,?,Yes,?,Yes,?,Yes,?,?,?
2,Apple Mail,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,No,Yes,Yes,Yes,No
3,Becky! Internet Mail,Yes,Yes,Yes,No,No,No,Yes,No,Yes,?,Yes,?,?,?
4,Citadel,Yes,Yes,No,Yes [Note 1],?,?,No,?,?,?,?,?,?,
5,Claws Mail,Read-only,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes,Yes
6,Cone,Read only,Yes,Yes,Yes,No,No,Yes,?,No,Yes,No,No,No,No
7,Courier,Yes,No,No,Yes,Yes,?,No,?,?,?,?,?,?,?
8,Elm,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,eM Client,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
10,EmailTray,Yes,Yes,Yes,No,Yes,?,No,No,No,No,No,No,No,No
11,Eudora,Yes,No,Yes,Pro only,Pro only,?,Yes,No,Yes [Note 2],Yes [Note 2],Yes,?,?,?
12,Eureka Email,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,Evolution,Yes,Yes,Yes,Yes,?,No,Yes,No,Yes,Yes,Yes,?,?,?
14,Gnus,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,?,?,Yes
15,GroupWise,Yes,Yes,Yes,Yes,?,?,Yes,?,?,?,?,?,?,?
16,Hiri,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,No,No,No
17,i.Scribe / InScribe,Read-only,Yes,Yes,Yes,No,?,Yes,?,Yes,No,No,No,No,No
18,IBM Notes,Yes,Yes,Yes,Yes,Yes,Yes,Yes [Note 3],?,Yes,Yes (4.1.2+),Yes,Yes[63],Yes,Yes
19,KMail,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes (with GPG),"Yes (1.5+, with GPGME)",Yes,Yes,Yes,?
20,Mailbird,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,No,No,No
21,Mailpile,?,Yes,?,?,?,?,?,Yes,?,Yes,?,?,?,?
22,Microsoft Entourage,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,?,?,Yes
