,Unnamed: 0,Person who likes,Thing that is liked,Form
0,Portuguese,Subject,Object of preposition de,(Eu) gosto da música.
1,Spanish,Indirect object,Subject,Me gusta la música.
2,English,Subject,Direct object,I like music.
