,Application,ISO 9660,Joliet,Rock Ridge,Amiga rock ridge,El Torito,Apple ISO9660,UDF,MRW
0,Alcohol 120%,Yes,Yes,No,No,No,No,No,No
1,CDBurnerXP,Yes,Yes,No,No,No,No,Yes,No
2,cdrtools,Yes,Yes,Yes,No,Yes,Yes,Yes,No
3,ExpressBurn,Yes,Yes,No,No,No,No,Yes,No
4,ImgBurn,Yes,Yes,No,No,Yes,No,Yes,No
5,InfraRecorder,Yes,Yes,?,?,?,?,Yes,?
6,K3b,Yes,Yes,Yes,?,Yes,No,Yes,No
7,Libburnia,Yes,Yes,Yes,No,Yes,No,No,No
8,Nero Burning ROM,Yes,Yes,No,No,Yes,Yes,Yes,Yes
9,UltraISO,Yes,Yes,?,?,?,?,Yes,?
10,X-CD-Roast,Yes,Yes,Yes,No,Yes,No,Yes,No
11,Application,ISO 9660,Joliet,Rock Ridge,Amiga rockridge,El Torito,Apple ISO9660,UDF,MRW
