,Unnamed: 0,2001[148],2002[149],2003[150],2004[151],2005[152],2006[153],2007[154],2008[155],2009[156],2010[157],Total
0,China,1,5,7,8,5,6,9,11,6,15,73
1,Japan,1,3,3,-,2,6,2,1,3,2,23
2,India,2,1,2,1,1,1,3,3,2,3,19
3,Israel,-,1,-,1,-,-,1,-,-,1,4
4,Iran,-,-,-,-,-,-,-,1,1,-,2
5,South Korea,-,-,-,-,-,-,-,-,1,1,2
6,North Korea,-,-,-,-,-,-,-,-,1,-,1
7,Total,4,10,12,10,8,13,15,16,14,22,124
