,Unnamed: 0,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
0,object,<3.1[IE 3.0] [8],Yes,Yes,Yes,Yes,Yes,Yes
1,param,<3.1[IE 3.0] [8],Yes,Yes,Yes,Yes,Yes,Yes
