,Unnamed: 0,singular,singular.1,singular.2,singular.3,singular.4,singular.5,singular.6,plural,plural.1,plural.2,plural.3,plural.4,plural.5,plural.6,indef.
0,,1st,2nd,2nd,3rd,3rd,3rd,3rd,1st,2nd,3rd,3rd,3rd,3rd,3rd,indef.
1,,1st,familiar,formal,m.,f.,n.,pan-gender,1st,2nd,m.,f.,n.,pan-gender,Reflexive,indef.
2,English,I,you (thou),you,he,she,it,he/it,we,you,,,,they,,one
3,Ido,me,tu,vu,il(u),el(u),ol(u),lu,ni,vi,ili,eli,oli,li,su,on(u)
4,Novial,me,vu,vu,lo,la,lu(m),le,nus,vus,los,las,lus,les,se,on
