,OLAP server,Issue Tracking System,Forum/Blog,Roadmap,Source code
0,Apache Kylin,Jira,[41],,Open
1,Druid,Druid – Github Issues,[42],,Open
2,Apache Pinot (Incubating),Jira,[43],,Open
3,Essbase,myOracle Support,[6],[7],Closed
4,IBM Cognos TM1,IBM Service Request,[8],,Closed
5,icCube,YouTrack,[9],,Closed
6,Infor BI OLAP Server,Infor Xtreme,,Available upon request,Closed
7,Jedox OLAP Server,Mantis,[10],Available upon request,Open
8,Kyligence,Zendesk,[44],,Closed
9,Kyvos,Zendesk,,Available upon request,Open
10,Microsoft Analysis Services,Connect,[11],-,Closed
11,MicroStrategy Intelligence Server,MicroStrategy Resource Center,[12],-,Closed
12,Mondrian OLAP server,Jira,[13],[14],Open
13,Oracle Database OLAP Option,myOracle Support,[15],,Closed
14,SAP NetWeaver BW,OSS,[16],[17],Closed
15,SAS OLAP Server,Support,[18],,Closed
