,Algorithm,Output size (bits),Internal state size[note 1],Block size,Length size,Word size,Rounds
0,BLAKE2b,512,512,1024,128[note 2],64,12
1,BLAKE2s,256,256,512,64[note 3],32,10
2,GOST,256,256,256,256,32,32
3,HAVAL,256/224/192/160/128,256,1024,64,32,3/4/5
4,MD2,128,384,128,–,32,18
5,MD4,128,128,512,64,32,3
6,MD5,128,128,512,64,32,64
7,PANAMA,256,8736,256,–,32,–
8,RadioGatún,Unlimited[note 4],58 words,19 words[note 5],–,1–64[note 6],18[note 7]
9,RIPEMD,128,128,512,64,32,48
10,"RIPEMD-128, -256",128/256,128/256,512,64,32,64
11,RIPEMD-160,160,160,512,64,32,80
12,RIPEMD-320,320,320,512,64,32,80
13,SHA-0,160,160,512,64,32,80
14,SHA-1,160,160,512,64,32,80
15,"SHA-224, -256",224/256,256,512,64,32,64
16,"SHA-384, -512, -512/224, -512/256",384/512/224/256,512,1024,128,64,80
17,SHA-3,224/256/384/512[note 8],1600,1600 - 2*bits,–[note 9],64,24
18,SHA3-224,224,1600,1152,–,64,24
19,SHA3-256,256,1600,1088,–,64,24
20,SHA3-384,384,1600,832,–,64,24
21,SHA3-512,512,1600,576,–,64,24
22,Tiger(2)-192/160/128,192/160/128,192,512,64,64,24
23,Whirlpool,512,512,512,256,8,10
