,Name,C#,Client-Specific,Lua,Perl,Python,Ruby,TINTIN,VB.NET,Tcl,PHP,JScript
0,Atlantis,No,Yes,Yes,Yes,No,No,No,No,No,No,No
1,Axmud,No,Yes,No,Yes,No,No,No,No,No,No,No
2,BeipMU,WSH,No,No,WSH,WSH,WSH,No,WSH,No,No,WSH
3,BioMUD,No,Yes,Yes,No,No,No,No,No,No,No,No
4,BlowTorch,No,Minimal,Yes,No,No,No,No,No,No,No,No
5,CMUD,WSH,No,Yes,WSH,WSH,WSH,Yes,WSH,No,No,WSH
6,GGMUD,No,No,Yes,No,No,No,Yes,No,No,No,No
7,GMUD,No,Minimal,No,No,No,No,No,No,No,No,No
8,Gnome-Mud,No,No,No,No,Yes,No,No,No,No,No,No
9,JamochaMUD,No,Minimal,No,No,No,No,No,No,No,No,No
10,KBtin,No,No,No,No,No,No,Yes,No,No,No,No
11,KildClient,No,No,No,Yes,No,No,No,No,No,No,No
12,KMuddy,No,Minimal,Yes,Yes,Yes,Yes,No,No,No,Yes,No
13,Lyntin,No,No,No,No,Yes,No,Yes,No,No,No,No
14,mcl,No,Yes,No,No,No,No,No,No,No,No,No
15,muby,No,No,No,No,No,Yes,No,No,No,No,No
16,Mudlet,No,Minimal,Yes,No,No,No,No,No,No,No,No
17,MudMagic,No,No,No,Yes,Yes,No,No,No,No,No,No
18,MUSHclient,No,No,Yes,Yes,Yes,Minimal,No,Yes,Yes,Yes,Yes
19,Portal,No,Yes,No,No,No,No,No,No,No,No,No
20,Potato,No,Yes,No,No,No,No,No,No,Yes,No,No
21,Powwow,No,Yes,No,No,No,No,No,No,No,No,No
22,Pueblo/UE,No,No,No,No,No,No,Yes,No,No,No,No
23,SimpleMU,No,No,No,No,No,No,No,No,No,No,No
24,Soiled,No,No,No,No,No,No,No,No,No,No,No
25,TinTin++,No,No,No,No,No,No,Yes,No,No,No,No
26,TinyFugue,No,Yes,No,No,No,No,No,No,No,No,No
27,Tortilla,No,No,Yes,No,No,No,Yes,No,No,No,No
28,Trebuchet,No,No,No,No,No,No,No,No,Yes,No,No
29,Wintin.Net,Yes,No,No,No,No,No,Yes,Yes,No,No,No
30,zMUD,WSH,No,No,WSH,WSH,WSH,Yes,WSH,No,No,WSH
