,Framework,Version compared,Size,License,Source language
0,Angular,718 Oct 2018,563 kB (minified & compressed),MIT,TypeScript
1,AngularJS,1.5.05 Feb 2016,144 kB (minified & compressed),MIT,JavaScript
2,Apache Royale,0.9.45 Nov 2018,19 kB (zipped),Apache,"ActionScript 3, MXML, CSS"
3,Backbone.js,1.2.1June 2015,7.3 kB (Packed and gzipped),MIT,JavaScript
4,Dojo,1.10.418 Jan 2015,"Variable. Base size: 41 kB (minified & gzipped), 155 kB (minified), 598 kB (uncompressed)[1]",BSD & AFL,JavaScript + HTML
5,Ember.js,1.7.019 Aug 2014,"95 kB (minified & gzipped), 340 kB (minified), 1.5 MB (uncompressed)",MIT,JavaScript
6,Enyo,2.0.130 Aug 2012,<25 kB (core gzipped),Apache 2 [2],JavaScript
7,Express.js,,,,
8,Ext JS,4.213 Mar 2013,84–502 kB,GPL & Commercial [3],JavaScript
9,Google Web Toolkit,2.7.0November 2014,Variable,Apache,Java
10,jQuery (library),3.4.010 Apr 2019,"30,1 KiB (minified & gzipped), 86 KiB (minified),[4] 283 KiB (uncompressed)[4]",MIT,JavaScript
11,jQWidgets,3.9.129 Oct 2015,"3102 KB (minified), 7486 KB (uncompressed)",Creative Commons Attribution-NonCommercial 3.0 and Commercial[5],"JavaScript, HTML, CSS"
12,Knockout,3.5.022 February 2019,66.4 KB minified / 309 KB (development mode),MIT,JavaScript
13,MooTools,1.6.014 Jan 2016,"Variable; 7.3–65 KiB (YUI Compressor),[6]  Variable; 7.3–65 KiB (YUI Compressor),[7] 101 KiB (uncompressed)[8]",MIT,JavaScript
14,Node.js,,,,
15,React (JavaScript library),"16.1.1November 28, 2017",react.production.min.js 6.41KB react-dom.production.min.js 92.4KB Total: 98.81KB,MIT,JavaScript
16,SAP OpenUI5,1.44.928 Mar 2017,"20.8MB (1.34.7 runtime, minified, zipped)6.8MB(1.34.7 runtime mobile, minified, zipped)52.1MB (1.34.7 SDK, zipped)",Apache 2[9],JavaScript
17,Prototype & script. aculo.us[10],Prototype: 1.7.322 Sep 2015 script.aculo.us: 1.9.023 Dec 2010,46–278 kB,MIT,JavaScript
18,qooxdoo,5.0.115 Sep 2015,"Variable, starting at 6 kB (gzipped)",LGPL & EPL,JavaScript
19,SmartClient & SmartGWT,SmartClient: 11.1 June 2017 SmartGWT: 6.1 June 2017,100–500 kb (gzipped).,LGPL & Commercial,Server: Java Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both)
20,SproutCore,1.11.2 2 May 2016,250–700 kb (gzipped).,MIT,JavaScript
21,Svelte,3.12.1 14 Oct 2019,Variable,MIT,JavaScript
22,Vue.js,2.6.1020 Mar 2019,33.5 KB (minified & gzipped) 91.48 KB (minified) [11] 333.46 KB (uncompressed) [11],MIT,JavaScript
23,Wakanda,914 Nov 2014,Variable,"GPL3 (framework), AGPL (server) & Commercial",JavaScript + HTML + CSS
24,Webix,4.1November 2016,188 kB (gzipped),GPL & Commercial,JavaScript
25,ZK,8.0.1 19 Jan 2016,Variable,LGPL & GPL & ZOL,XML + Java (JavaScript optional)
