,Name,Online sync,Blind support,Wild cards,Suggestions,W/O diacritics,Full text search,Inflection search,Word context,History,Microsoft Windows,Linux,Mac OS,Android,Windows Phone,Software needs,Storage needs MB,Author,License
0,Maestro DEX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Perl, wxWidgets, only on Linux",490,Octavian Râşniţă,GPL
1,PyDEX,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,wxPython,250,Cristian Năvălici,GPLv3
2,Dixit,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,"QT, g++, only on Linux",48,Octavian Procopiuc,GPL
3,DEX pentru Android,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,,3,Adrian Vintu,Freeware
4,DEX pentru Windows Phone,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,1,Adrian Vintu,Freeware
