,Type,Sensor,2000,2000.1,2000.2,2001,2001.1,2001.2,2001.3,2002,2002.1,2002.2,2002.3,2003,2003.1,2003.2,2003.3,2004,2004.1,2004.2,2004.3,2005,2005.1,2005.2,2005.3,2006,2006.1,2006.2,2006.3,2007,2007.1,2007.2,2007.3,2008,2008.1,2008.2,2008.3,2009,2009.1,2009.2,2009.3,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3
0,Type,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSLR,Full-frame,,,,,,,,,,,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,,,,,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,1D C,,,,,,,,,,,,,,,,,
2,DSLR,Full-frame,,,,,,,,,,,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk II,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1Ds Mk III,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II,1D X Mk II
3,DSLR,APS-H,,,,,,,1D,1D,1D,1D,1D,1D,1D,1D,1D,1D,1D Mk II,1D Mk II,1D Mk II,1D Mk II,1D Mk II,1D Mk II N,1D Mk II N,1D Mk II N,1D Mk II N,1D Mk II N,1D Mk II N,1D Mk II N,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk III,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,1D Mk IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DSLR,Full-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R,5DS / 5DS R
5,DSLR,Full-frame,,,,,,,,,,,,,,,,,,,,,,,5D,5D,5D,5D,5D,5D,5D,5D,5D,5D,5D,5D,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk II‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk III‡,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV,5D Mk IV
6,DSLR,Full-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D‡,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II,6D Mk II
7,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D‡,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II,7D Mk II
8,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,20Da,20Da,20Da,20Da,20Da,,,,,,,,,,,,,,,,,,,,,,,,,60Da,60Da,60Da,60Da,60Da,60Da,60Da,60Da,60Da,60Da,60Da,60Da,,,,,,,,,,,,,,,,,,,,,,,
