,IDE,License,Platform,Developer,Latest stable release
0,Code::Blocks,GPL,"Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris",Code::Blocks Team,17.12 / 2017-12-30
1,Geany,GPL,"Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix",Team,"1.27 / March 13, 2016"
2,GNAT Programming Studio,GPL,"Windows, Linux, macOS, DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris",AdaCore,4.3.1 / June 2009
3,KDevelop,GPL,Linux,KDevelop Team,"5.2.3 (November 24, 2017; 2 years ago) [±]"
4,NetBeans,CDDL,"Windows, Linux, macOS",NetBeans Community,"8.1 / November 4, 2015"
5,OpenWatcom,OSI Approved,"Windows, Linux, DOS, OS/2",OpenWatcom Community,"1.9 / June 2, 2010"
6,Photran (Eclipse),EPL,"Windows, Linux, macOS, FreeBSD, JVM, Solaris","University of Illinois, Los Alamos National Laboratory","9.1 / June 24, 2015"
7,Plato,Proprietary,Windows,Silverfrost,4.7.3.0
8,Understand,Proprietary,"Windows, Linux, macOS, Solaris, other Unix",SciTools,"December 4, 2015"
9,Simply Fortran,Proprietary,"Windows, Linux","Approximatrix, LLC","2.39 / August 30, 2017"
10,SlickEdit,Proprietary,"Windows, Linux, MacOS, AIX, Solaris, Solaris SPARC, HP-UX",SlickEdit,October 2016
11,IntelliJ IDEA,ASLv2,"Windows, Linux, MacOS, FreeBSD, OpenBSD, Solaris",JetBrains,September 2017
