,Unnamed: 0,Primary developers,First public release,Based on,Latest stable version,Latest stable version.1,Cost (USD),Preferred license,Purpose,Short description,Unnamed: 10
0,,Primary developers,First public release,Based on,Version,Release Date,Cost (USD),Preferred license,Purpose,Short description,
1,FreeBSD,The FreeBSD Project,1993-12-01,"386BSD, 4.4BSD-Lite",12.0,2018-12-07[37],Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims to be usable for any purpose.,
2,OpenBSD,The OpenBSD Project,1996-09-01,NetBSD 1.0,6.6,2019-10-17,Free,ISC,"Server, Workstation, Network Appliance, Embedded","Aims for maximum correctness in code, bringing simplicity and security.",
3,NetBSD,The NetBSD Project,1993-05-01,"386BSD, 4.4BSD-Lite",8.1,2019-05-31,Free,Simplified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum portability.,
4,DragonFly BSD,Matt Dillon,2004-07-12,FreeBSD 4.8,5.6.1,2019-06-19,Free,Modified BSD,"Server, Workstation, Network Appliance, Embedded",Aims for maximum scalability.,
5,386BSD[Note 1],William and Lynne Jolitz,1992-03-01,4.3BSD Net/2,1.0,1994-11-01,Free,BSD,Open source general purpose,Historical,
6,BSD/OS (BSD/386)[Note 1],"BSDi, Wind River Systems",1993-03-01,"4.3BSD Net/2, 4.4BSD",5.1,2003-10-01,?,Proprietary,General purpose,Historical,
7,SunOS[Note 1][Note 2],Sun Microsystems,1982,"4.xBSD, UNIX System V[38]",4.1.4,1994-11-01,Included in hardware and support charges,Proprietary,"Server, Workstation",Historical (Solaris is a different code base),
8,Ultrix[Note 1],Digital Equipment Corporation,1984,"4.2BSD, SVR2",4.5,1995,?,Proprietary,General Purpose,Historical (ran on DEC VAX & MIPS systems or emulators).,
9,RISCiX,Acorn Computers,1988,"4.3 BSD, Unix System V",1.31c,1993-09-07,Non-free £1000 GBP (Approx $1400),Proprietary,Workstation,Historical (ran on Archimedes and R series Workstations),
10,"Tru64 UNIX (DEC OSF/1, Digital UNIX)","DEC, Compaq, HP",1993,"4.3BSD, 4.4BSD, Mach 2.5, UNIX System V",5.1B-6,2010-10-01,Non-free $99 (non-commercial),Proprietary,General Purpose,Only runs on HP Alpha systems or emulators.,
11,macOS,Apple Inc.,2001-03-24,Darwin,"10.15.1 ""Catalina""",2019-10-29,Client: Free Server (add-on application): $19.99,Open source core system (see Darwin) with proprietary higher level API layers locking to Apple hardware,"Workstation, Home Desktop, Server",Locked to Apple hardware use only,
12,iOS,Apple Inc.,2007-06-01,Darwin,13.2.3,2019-11-18,Free,Open source core system (see Darwin) with proprietary higher level API layers locking to Apple hardware,Embedded mobile device,"Ships with Apple iPhone, iPad, iPod Touch, Apple TV, Apple Watch",
13,Darwin,Apple Inc.,2001-03-01,"NeXTSTEP, FreeBSD, classic Mac OS",18.0.0,2018-09-24,Free,"APSL, GPL and others","Workstation, Home Desktop, Server",The kernel and certain userland components of macOS and iOS,
14,TrueOS,"iXsystems, Inc.",2006-04-29,FreeBSD,18.3,2018-03-30,Free,BSD,Server,Easy to use while maintaining full use of FreeBSD base,
15,GhostBSD,Eric Turgeon,2009-11-01,FreeBSD,11.1,2017-11-16,Free,BSD,"Desktop, Workstation","Easy to use, full FreeBSD w/ GNOME, Mate, Xfce, LXDE or Openbox.",
16,DesktopBSD,"Peter Hofer, Daniel Seuffert",2005-07-25,FreeBSD,1.7,2009-09-07,Free,BSD,Desktop,Easy to use,
17,ClosedBSD,Joshua Bergeron and various contributors,?,FreeBSD,"1.0B (floppy), 1.0-RC1 (CD)",?,Free,Proprietary,?,"firewall/NAT, boot floppy, Live CD",
18,FreeSBIE,?,?,FreeBSD,2.0.3,2007-02-01,Free,?,?,Live CD of FreeBSD. DistroWatch lists as discontinued.,Live CD of FreeBSD. DistroWatch lists as discontinued.
19,PicoBSD,Michael Bialecki,?,FreeBSD,0.42,?,Free,BSD,boot floppy,?,
20,Anonym.OS,?,2005-01-01,OpenBSD 3.8,none (beta only),?,Free,?,Anonymous browsing,Live CD,
21,MirOS BSD,The MirOS Project,?,OpenBSD 3.1,#10,2008-03-16,Free,?,?,European,
22,ekkoBSD[Note 1],Rick Collette,?,OpenBSD 3.3,?,?,?,?,Server,easy to administer,
23,MicroBSD[Note 1],Bulgarians,?,OpenBSD 3.0/3.4,0.6,2003-10-27,Free,?,General purpose,"Small, secure",
24,OliveBSD,Gabriel Paderni,?,OpenBSD 3.8,?,?,Free,?,Live CD,DistroWatch lists as discontinued.,
25,Gentoo/FreeBSD,Gentoo Linux developers,?,FreeBSD,?,?,Free,"GPL, BSD","Server, Workstation, Network Appliance",uses Gentoo framework,
26,Gentoo/OpenBSD,Gentoo Linux developers,?,OpenBSD,?,?,Free,"GPL, BSD","Server, Workstation, Network Appliance, Embedded",uses Gentoo framework,
