,Report date,Place,Period,Amount(TBq),Source
0,12 April 2011,Chernobyl,25 April – June 1986,5200000.0,NISA[26]
1,12 April 2011,Fukushima,11 March – 5 April 2011,630000.0,NSC[25][26]
2,12 April 2011,Fukushima,11 – 17 March 2011,370000.0,NISA[26]
3,April 2011,Fukushima,4 April 2011,154.0,NSC[25]
4,25 April 2011,Fukushima,24 April 2011,24.0,NSC[25]
5,6–7 June 2011,Fukushima,11 – 17 March 2011,770000.0,NISA[30]>[27]
6,7 June 2011,Fukushima,11 – 17 March 2011,840000.0,"NISA,[31] press printing[30]"
7,17 August 2011,Fukushima,3–16 August 2011,0.07,Government[32]
8,23 August 2011,Fukushima,12 March - 5 April 2011,630000.0,NISA[33]
