,Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
0,Arima U300,Smartphone,Arima,,Symbian OS,7.0,,UIQ 2.0,
1,Arima U308,Smartphone,Arima,,Symbian OS,7.0,,UIQ 2.1,
2,Benq P30,Smartphone,Benq,,Symbian OS,7.0,,UIQ 2.0,
3,Benq P31,Smartphone,Benq,,Symbian OS,7.0,,UIQ 2.1,
4,DoCoMo F-06B,Feature phone,Fujitsu,,Symbian^2,9.5,,MOAP(S),
5,DoCoMo F-07B,Feature phone,Fujitsu,,Symbian^2,9.5,EKA2,MOAP(S),
6,DoCoMo F-08B,Feature phone,Fujitsu,,Symbian^2,9.5,EKA2,MOAP(S),
7,Lenovo P930,Smartphone,Lenovo,,Symbian OS,8.0a,,"S60 2nd Edition, Feature Pack 2, version 2.6",
8,LG KS10,Smartphone,LG,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
9,LG KT610,Smartphone,LG,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
10,LG KT615,Smartphone,LG,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
11,Motorola A920,Smartphone,Motorola,,Symbian OS,7.0,,UIQ 2.0,
12,Motorola A925,Smartphone,Motorola,,Symbian OS,7.0,,UIQ 2.0,
13,Motorola A1000,Smartphone,Motorola,,Symbian OS,7.0,,UIQ 2.1,
14,Motorola M1000,Smartphone,Motorola,,Symbian OS,7.0,,UIQ 2.1,
15,Motorola RIZR Z8,Smartphone,Motorola,,Symbian OS,9.2,,UIQ 3.1,First model with UIQ 3.1
16,Motorola RIZR Z10,Smartphone,Motorola,,Symbian OS,9.2,,UIQ 3.2,First model with UIQ 3.2
17,Nokia 3230,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, Feature Pack 1, version 2.1",
18,Nokia 3250,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
19,Nokia 3600,Smartphone,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1 version, 1.2",
20,Nokia 3620,Smartphone,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
21,Nokia 3650,Smartphone,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
