,Virtual machine,Languages,Comments,Interpreter,JIT,Implementation language,SLoC
0,Common Language Runtime (CLR),"C#, C++/CLI, F#, VB.NET",bytecode is CIL; .NET Core Runtime on GitHub,No,Yes,"C#, C++",
1,Adobe Flash Player (aka Tamarin),"ActionScript, SWF (file format)","interactive web authoring tool. bytecode is named ""ActionScript Byte Code (.abc)""",Yes,Yes,C++,135k (initially released)
2,Dis (Inferno),Limbo,Dis Virtual Machine Specification,Yes,Yes,C,15k + 2850 per JIT arch + 500 per host OS
3,DotGNU-Portable.NET,CLI languages including: C#,Common Language Runtime clone,No,Yes,"C, C#",
4,Forth,Forth,"Features are simplified, usually include assembler, compiler, text-level and binary-level interpreters, sometimes editor, debugger and OS. Compiling speeds are >20 SKLOC/S and behave much like JIT.",Yes,No,"Forth, Forth Assembler","2.8K to 5.6K; advanced, professional implementations are smaller."
5,Glulx,"Inform 6, Inform 7, others",,Yes,No,Various implementations exist,
6,HHVM,"PHP, Hack",Is an open-source virtual machine designed for executing programs written in Hack and PHP.,Yes,Yes,"C++, OCaml",
7,Icon,Icon,"Base source code provides both the interpreter as well as an unsupported compile-to-C version. The runtime code, that is shared between the compiler and the interpreter, is written in a variant of C called RTT.",Yes,No,"C, RTT (a custom front-end to C, provided with the base source for Icon).","~180k total. (source to bytecode: ~11k, bytecode interpreter: ~46k, iconc: ~23k, common/headers: ~13k, rtt: ~15k)"
8,JVM,"Java, Kotlin, Jython, Groovy, JRuby, C, C++, Clojure, Scala and several others",Reference implementation by Sun ; OpenJDK: code under GPL ; IcedTea: code and tools under GPL,Yes,Yes,"JDK, OpenJDK & IcedTea with regular JIT : Java, C, ASM ; IcedTea with the ""Zero"" JIT : Java, C",JVM is around 6500k lines; TCK is 80k tests and around 1000k lines
9,LLVM,"C, C++, Kotlin, Objective-C, Swift, Ada, Fortran, and Rust","MSIL, C and C++ output are supported. ActionScript Byte Code output is supported by Adobe Alchemy. bytecode is named ""LLVM Bytecode (.bc)"". assembly is named ""LLVM Assembly Language (*.ll)"".",Yes,Yes,C++,811k [4]
10,Lua,Lua,,Yes,LuaJIT,C,13k + 7k LuaJIT
11,MMIX,MMIXAL,,,,,
12,Mono,"CLI languages including: C#, VB.NET, IronPython, IronRuby, and others",Common Language Runtime clone,Yes,Yes,"C#, C",2332k
13,Oz,"Oz, Alice",,,,,
14,NekoVM,currently Neko and Haxe,,Yes,x86 only,C,46k
15,O-code machine,BCPL,,,,,
16,p-code machine,Pascal,"UCSD Pascal, widespread in late 70s including Apple II",,,,
17,Parrot,"Perl 5, Raku, NQP-rx, PIR, PASM, PBC, BASIC, bc, C99, ECMAScript, Lisp, Lua, m4, Tcl, WMLScript, XML, and others",,Yes,Yes,"C, Perl","111k C, 240k Perl"
18,Perl virtual machine,Perl,op-code tree walker,Yes,No,"C, Perl","175k C, 9k Perl"
19,CPython,Python,,Yes,Psyco,C,"387k C, 368k Python, 10k ASM, 31k Psyco"
20,PyPy,Python,"Self-hosting implementation of Python, next generation of Psyco",Yes,Yes,Python,
21,Rubinius,Ruby,Virtual machine for another Ruby implementation,Yes,Yes,"C++, Ruby",
22,Silverlight,"C#, VB.NET",A Micro-version of Microsoft .NET Framework to let applications run sandboxed inside browser,Yes,Yes,C++,7MB (initially released)
23,ScummVM,Scumm,Computer game engine,,,,
24,SECD,"ISWIM, Lispkit Lisp",,,,,
25,Squirrel,Squirrel,,Yes,Squirrel_JIT,C++,12k
26,Smalltalk,Smalltalk,,,,,
27,SQLite,SQLite opcodes,Virtual database engine,,,,
28,Squeak,Squeak Smalltalk,Self hosting implementation of Squeak virtual machine. Rich multi-media support.,Yes,Cog & Exupery,Smalltalk/Slang,"110k Smalltalk, ~300K C"
29,TraceMonkey,JavaScript,Based on Tamarin,No,Yes,C++,173k
30,TrueType,TrueType,Font rendering engine,Yes,No,C (typically),
31,Valgrind,x86/x86-64 binaries,Checking of memory accesses and leaks under Linux,,,C,467k [5]
32,VisualWorks,Smalltalk,,No,Yes,C,
33,Vx32 virtual machine,x86 binaries,Application-level virtualization for native code,No,Yes,,
34,Waba,,"Virtual machine for small devices, similar to Java",,,,
35,Yet Another Ruby VM (YARV),Ruby,Virtual machine of the reference implementation for Ruby 1.9 and newer versions,Yes,Yes,C,
36,Z-machine,Z-Code,,,,,
37,Zend Engine,PHP,,Yes,No,C,75k
