,Unnamed: 0,Unnamed: 1,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
0,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance,Cascading and Inheritance
1,css-cascade-3,all,No,No,27.0[g 14],No,No,No
2,Display,Display,Display,Display,Display,Display,Display,Display
3,CSS2,display,8.0,12,1.9,85,Yes,1.0
4,Earlierdraft ofcss-display-3,display-inside,No,No,No,No,No,No
5,Earlierdraft ofcss-display-3,display-outside,No,No,No,No,No,No
6,Earlierdraft ofcss-display-3,display-list,No,No,No,No,No,No
7,css-display-3,box-suppress,No,No,No,No,No,No
8,Box Model[spec 7],Box Model[spec 7],Box Model[spec 7],Box Model[spec 7],Box Model[spec 7],Box Model[spec 7],Box Model[spec 7],Box Model[spec 7]
9,CSS2,margin,9.0,12,1.0,85,Yes,1.0
10,CSS2,padding,4.0,12,1.0,85,Yes,1.0
11,CSS2,width,4.0,12,1.0,85,Yes,1.0
12,CSS2,height,4.0,12,1.0,85,Yes,1.0
13,CSS2,float,5.0,12,1.0,85,Yes,1.0
14,CSS2,clear,5.0,12,1.0,85,Yes,1.0
15,CSS2,min-width,7.0,12,1.0,Partial,Yes,1.0
16,CSS2,max-width,7.0,12,1.0,Partial,Yes,1.0
17,CSS2,min-height,7.0,12,1.7,Partial,3.3.2,1.0
18,CSS2,max-height,7.0,12,1.7,Partial,3.3.2,1.0
19,CSS2,visibility,9.0,12,1.8,Partial,Partial,2.5
20,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
21,CSS2,overflow,9.0,12,1.0,85,3.2,1.0
22,css-overflow-3,overflow-x,9.0,12,1.8,525,3.5.6,2.1
23,css-overflow-3,overflow-y,9.0,12,1.8,525,3.5.6,2.1
24,css-overflow-3,max-lines,No,No,No,No,No,No
25,Borders,Borders,Borders,Borders,Borders,Borders,Borders,Borders
26,CSS2,border,4.0,12,1.0,85,Yes,1.0
27,CSS2,border-color,7.0,12,1.0,85,Yes,1.0
28,CSS2,border-style,8.0,12,1.0,85,Yes,1.0
29,CSS2,border-width,4.0,12,1.0,85,Yes,1.0
30,CSS2,border-top,5.5,12,1.0,85,Yes,1.0
31,CSS2,border-right,5.5,12,1.0,85,Yes,1.0
32,CSS2,border-bottom,5.5,12,1.0,85,Yes,1.0
33,CSS2,border-left,5.5,12,1.0,85,Yes,1.0
34,css-background-3,border-radius,9.0[t 1],12,2.0[g 15],533[w 12],Experimental,2.5
35,css-background-3,border-image,11.0,12,15.0[g 16],Experimental,No,2.5
36,css-background-3,border-image-source,11.0,12,15.0[g 17],No,No,No
37,css-background-3,border-image-slice,11.0,12,15.0[g 17],No,No,No
38,css-background-3,border-image-width,11.0,12,15.0[g 17],No,No,No
39,css-background-3,border-image-outset,11.0,12,15.0[g 17],No,No,No
40,css-background-3,border-image-repeat,11.0,12,15.0[g 17],No,No,No
41,css-background-3,box-shadow,9.0[t 13],12,2.0[g 18] [g 19],Yes[w 13],No,2.5
42,css-background-3,box-decoration-break,No,No,32.0[g 20],No[w 14],No,2.7[p 2]
43,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
44,Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8],Line Layout[spec 8]
45,CSS2,line-height,4.0,12,1.0,85,Yes,1.0
46,CSS2,vertical-align,8.0,12,1.0,85,Yes,1.0
47,Positioning,Positioning,Positioning,Positioning,Positioning,Positioning,Positioning,Positioning
48,CSS2,position,7.0,12,1.0,85,Yes,1.0
49,CSS2,top,8.0,12,1.0,85,Yes,1.0
50,CSS2,right,8.0,12,1.0,85,Yes,1.0
51,CSS2,bottom,8.0,12,1.0,85,Yes,1.0
52,CSS2,left,8.0,12,1.0,85,Yes,1.0
53,CSS2,z-index,8.0,12,1.9,85,Yes,1.0
54,Box Alignment Module,Box Alignment Module,Box Alignment Module,Box Alignment Module,Box Alignment Module,Box Alignment Module,Box Alignment Module,Box Alignment Module
55,css-align-3,,,,,,,
56,css-align-3,align-content,11.0,12,28.0,Experimental,No,No
57,css-align-3,align-items,11.0,12,20.0,Experimental,No,No
58,css-align-3,align-self,11.0,12,20.0,Experimental,No,No
59,css-align-3,justify-content,11.0,12,20.0,Experimental,No,No
60,css-align-3,justify-items,No,12,No,No,No,No
61,css-align-3,justify-self,No,12,No,No,No,No
62,Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9],Generated and Replaced Content[spec 9]
63,CSS2,quotes,8.0,12,Yes,412[w 15],3.4,1.0
64,CSS2,content,9.0[t 14],12,1.9,Partial,Yes,2.7
65,CSS2,counter-increment,8.0,12,1.8,525,3.4,1.0
66,CSS2,counter-reset,8.0,12,1.8,525,3.4,1.0
67,Lists[spec 10],Lists[spec 10],Lists[spec 10],Lists[spec 10],Lists[spec 10],Lists[spec 10],Lists[spec 10],Lists[spec 10]
68,CSS2,list-style,4.0,12,1.0,85,Yes,1.0
69,CSS2,list-style-image,4.0,12,1.0,85,Yes,1.0
70,CSS2,list-style-position,4.0,12,1.0,85,Yes,1.0
71,CSS2,list-style-type,8.0,12,1.0,85,3.4,1.0
72,Colors,Colors,Colors,Colors,Colors,Colors,Colors,Colors
73,CSS2,color,3.0,12,1.0,85,Yes,1.0
74,css-color-3,opacity,9.0[t 1],12,1.7,125,4.0,2.0
75,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
76,Backgrounds,Backgrounds,Backgrounds,Backgrounds,Backgrounds,Backgrounds,Backgrounds,Backgrounds
77,CSS2,background,4.0,12,1.0,85,Yes,1.0
78,CSS2,background-attachment,7.0,12,1.0,85,Yes,1.0
79,CSS2,background-color,4.0,12,1.0,85,Yes,1.0
80,CSS2,background-image,8.0,12,1.0,85,Yes,1.0
81,CSS2,background-position,8.0,12,1.0,85,Yes,1.0
82,CSS2,background-repeat,4.0,12,1.0,85,Yes,1.0
83,css-background-3,background (multiple),9.0[t 1],12,1.9.2,312,3.5,2.5
84,css-background-3,background-clip,9.0[t 1],12,2.0[g 21],Yes[w 16],Experimental,2.5
85,css-background-3,background-origin,9.0[t 1],12,2.0[g 21],Yes[w 16],Experimental,2.5
86,css-background-3,background-size,9.0[t 1],12,2.0[g 21],Yes[w 17],Experimental,2.5
