,Name,Frequency,Credit bureau(s),Full SSN required?,Scoring model
0,AnnualCreditReport.com,Annual full official report (one from each agency) [3],"Equifax, Experian, TransUnion[3]",Yes[3],No score provided
1,CreditCards.com by Bankrate,Monthly full report[4],TransUnion[4],Last 4 digits only,VantageScore 3.0[4]
2,CreditWise by Capital One,Weekly full report[5],TransUnion[5],Yes[5],VantageScore 3.0[5]
3,CreditWorks Basic by Experian,Monthly full report[6],Experian,Yes[6],FICO 8[6]
4,Credit Journey by Chase,Weekly summary[7],TransUnion[7],Yes[7],VantageScore 3.0[7]
5,Credit Karma,Weekly full reports[8],"TransUnion, Equifax[8]",Sometimes[9],VantageScore 3.0[10]
6,Credit Scorecard by Discover,Monthly summary[11],Experian,Yes[11],FICO 8[11]
7,Credit Sesame,Monthly summary[12],TransUnion[12],Last 4 digits only[12],VantageScore 3.0[12]
8,LendingTree,Monthly summary[13],TransUnion[13],Last 4 digits only[13],VantageScore 3.0[10]
9,Mint by Intuit,Monthly summary[14],TransUnion[14],Yes[14],VantageScore 3.0[15]
10,myBankrate,Monthly full report[16],TransUnion[16],Last 4 digits only,VantageScore 3.0[16]
11,MyCredit Guide by American Express,Weekly full report[17],TransUnion[17],Last 4 digits only,VantageScore 3.0[17]
12,NerdWallet,Weekly full report[18],TransUnion[18],Last 4 digits only[18],VantageScore 3.0[18]
13,QLCredit by Quicken Loans,Biweekly full report[19],TransUnion[19],Yes[19],VantageScore 3.0[10]
14,Quizzle by Bankrate,Quarterly full report[20],TransUnion[20],Last 4 digits only[20],VantageScore 3.0[10]
15,WalletHub,Daily full report[21],TransUnion[21],Last 4 digits only[21],VantageScore 3.0[10]
