,Unnamed: 0,Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
0,4D,Yes (with SSL),?,Yes,?,Yes,Yes,?,?,?,?,?
1,Adaptive Server Enterprise,Yes (optional; to pay),Yes,Yes (optional ?),Yes,Partial (need to register; depend on which product)[157],Yes,Yes,Yes,Yes,Yes (EAL4+ 1),?
2,Advantage Database Server,Yes,No,No,No,Yes,Yes,No,No,Yes,?,?
3,DB2,Yes,?,"Yes (LDAP, Kerberos…)",Yes,?,Yes,Yes,Yes,Yes,Yes (EAL4+6),?
4,Empress Embedded Database,?,?,No,No,Yes,Yes,Yes,No,Yes,No,?
5,EXASolution,No,No,Yes (LDAP),No,Yes,Yes,Yes,Yes,Yes,No,?
6,Firebird,Yes,Yes[158],Yes (Windows trusted authenification),Yes (by custom plugin),Yes (no security page)[159],Yes,Yes[160],Yes,No7,?,?
7,HSQLDB,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,?
8,H2,Yes,Yes,?,No,?,Yes,?,Yes,Yes,No,?
9,Informix Dynamic Server,Yes,?,Yes10,?10,Yes,Yes,Yes,Yes,Yes,?,Yes
10,Linter SQL RDBMS,Yes (with SSL),Yes,Yes,Yes (length only),Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,MariaDB,Yes (SSL),No,"Yes (with 5.2, but not on Windows servers)",Yes[161][162],Yes[163],Yes,?,?,?8,No,?
12,Microsoft SQL Server,Yes,?,Yes (Microsoft Active Directory),Yes,Yes,Yes,Yes (From 2008),Yes,Yes,Yes (EAL4+11),?
13,Microsoft SQL Server Compact (Embedded Database),"No (not relevant, only file permissions)",No (not relevant),No (not relevant),No (not relevant),Yes,Yes (file access),Yes,Yes,No,?,?
14,Mimer SQL,?,?,?,?,?,?,Yes,?,Yes,?,Yes
15,MySQL,Yes (SSL with 4.0),No,"Yes (with 5.5, but only in commercial edition)",No,Partial (no security page)[164],Yes,?,?,?8,Yes,?
16,OpenBase SQL,Yes,?,"Yes (Open Directory, LDAP)",No,?,?,?,?,?,?,?
17,OpenLink Virtuoso,Yes,Yes,Yes,Yes (optional),Yes (optional),Yes,Yes (optional),Yes (optional),Yes,No,Yes (optional)
18,Oracle,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes (EAL4+1),?
19,Pervasive PSQL,Yes,?,No,No,Yes,Yes,Yes 12,No,No,No,?
20,Polyhedra DBMS,Yes (with SSL. Optional),No,No,No,No,Yes,Yes 13,Yes,Yes 13,No,?
21,PostgreSQL,Yes,Yes (for 9.1),"Yes (LDAP, Kerberos…9)",Yes (as of 9.0 with passwordcheck module),Yes[165],Yes,"Limited, with triggers[166]",Yes,Yes,Yes (EAL11),?
22,Raima Database Manager,No,No,No,No,No,Yes,No,No,No,No,?
23,RDM Server,Yes,No,No,No,No,Yes,Yes,No,Yes,No,?
24,SAP HANA,?,?,?,?,?,?,?,?,?,?,?
25,solidDB,No,No,Yes,No,No,Yes,Yes,No,No,No,No
26,SQL Anywhere,Yes,?,Yes (Kerberos),Yes,?,Yes,Yes,No,Yes,Yes (EAL3+1 as Adaptive Server Anywhere),?
27,SQLite,"No (not relevant, only file permissions)",No (not relevant),No (not relevant),No (not relevant),Partial (no security page)[167],Yes (file access),Yes,Yes,No,No,?
28,Teradata,Yes,No,"Yes (LDAP, Kerberos…)",Yes,?,Yes,Yes,Yes,Yes,Yes,Yes
29,,Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
