,Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate.1,Fillrate.2,Fillrate.3,Memory,Memory.1,Memory.2,Memory.3
0,Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
1,GeForce2 Go 100,"February 6, 2001",NV11M,AGP 4×,125,332,2:0:4:2,250,250,500,0,"8, 16",1.328,DDR,32
2,GeForce2 Go,"November 11, 2000",NV11M,AGP 4×,143,166332,2:0:4:2,286,286,572,0,"16, 32",2.656,SDRDDR,12864
3,GeForce2 Go 200,"February 6, 2001",NV11M,AGP 4×,143,332,2:0:4:2,286,286,572,0,"16, 32",2.656,DDR,64
